Metric,Jun 2015,Mar 20169m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2016
Sales,397,87,145,137,135,142,58,6,1,0,0,0,
  └─ Sales Growth %,-29.08%,,67.43%,-5.87%,-0.98%,5.13%,-58.97%,-89.31%,-81.73%,-100.00%,,,-84.51%
Expenses,380,100,153,147,141,135,63,11,1,0,1,1,
  └─ Material Cost %,87.85%,,54.67%,54.28%,50.58%,52.01%,50.79%,97.12%,0.00%,,,,73.88%
    └─ Raw material cost,349.73,,78.74,74.54,68.98,72.11,30.31,5.53,0.00,0.00,0.00,0.00,61.26
    └─ Change in inventory,-0.98,,0.64,-0.35,-0.52,1.89,-0.66,0.53,0.00,0.00,0.00,0.00,2.82
  └─ Manufacturing Cost %,2.79%,,11.04%,12.39%,10.11%,10.04%,11.99%,20.99%,4.39%,,,,8.09%
  └─ Employee Cost %,3.53%,,16.71%,18.49%,19.82%,20.02%,25.95%,44.87%,26.32%,,,,14.50%
  └─ Other Cost %,1.56%,,23.26%,22.66%,23.56%,12.76%,18.84%,21.15%,57.89%,,,,18.84%
Operating Profit,17,-13,-8,-11,-6,7,-4,-5,0,-0,-1,-1,
OPM %,4%,-15%,-6%,-8%,-4%,5%,-8%,-84%,11%,,,,
Other Income,1,23,13,24,4,2,35,-44,-17,0,-1,17,
  └─ Exceptional items,0.01,,-1.14,16.07,0.46,-0.03,24.70,-45.06,-18.25,-0.77,-0.73,17.33,22.31
  └─ Other income normal,0.59,,14.30,7.92,3.17,2.45,10.33,0.65,0.99,0.78,0.07,0.00,0.59
Interest,0,0,1,1,1,7,10,2,2,1,0,0,
Depreciation,5,4,13,14,14,26,25,6,1,0,0,0,
Profit before tax,13,6,-9,-2,-17,-23,-4,-58,-21,-1,-2,17,
Tax %,-121%,-0%,53%,-112%,39%,0%,91%,17%,0%,0%,0%,0%,
Net Profit,25,6,-19,-0,-24,-23,-9,-69,-21,-1,-2,17,
  └─ Profit from Associates,-3.50,,-5.12,-0.71,0.00,-0.30,-0.88,-1.76,0.00,0.00,0.00,0.00,0.00
  └─ Minority share,-1.34,,0.00,-1.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.08
  └─ Exceptional items AT,0.01,,-0.54,16.07,0.46,-0.03,20.63,-37.49,-18.25,-0.77,-0.73,17.33,22.31
  └─ Profit excl Excep,25.01,,-18.86,-16.52,-24.28,-23.26,-30.03,-31.68,-2.49,-0.61,-0.94,-0.76,-16.68
  └─ Profit for PE,23.67,,-18.86,-18.05,-24.28,-23.26,-30.03,-31.68,-2.49,-0.61,-0.94,-0.72,-16.60
  └─ Profit for EPS,23.68,,-19.40,-1.98,-23.82,-23.29,-9.40,-69.17,-20.74,-1.38,-1.67,16.61,5.71
  └─ Profit Growth %,110.45%,,-13.61%,4.29%,-34.52%,4.20%,-29.11%,-5.49%,92.14%,75.50%,-54.10%,23.40%,-247.59%
EPS in Rs,0.95,0.23,-0.78,-0.08,-0.95,-0.93,-0.38,-2.77,-0.83,-0.06,-0.07,0.66,
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
