Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,370,433,628,760,955
  └─ Sales Growth %,,17.08%,44.97%,21.14%,25.59%
Expenses,275,326,475,565,685
  └─ Material Cost %,43.01%,43.13%,45.38%,46.79%,43.21%
    └─ Raw material cost,159,194,287,357,414
    └─ Change in inventory,-0,-7,-2,-1,-2
  └─ Manufacturing Cost %,12.34%,13.73%,12.95%,11.70%,0.00%
  └─ Employee Cost %,13.80%,12.96%,11.27%,11.26%,10.96%
  └─ Other Cost %,5.15%,5.47%,6.09%,4.48%,17.53%
Operating Profit,95,107,153,196,270
OPM %,26%,25%,24%,26%,28%
Other Income,4,10,8,8,18
  └─ Exceptional items,-0.27,2.67,2.35,2.51,0.00
  └─ Other income normal,4.16,7.34,5.21,5.17,17.63
Interest,3,3,9,6,4
Depreciation,22,23,39,45,54
Profit before tax,74,91,113,153,230
Tax %,26%,26%,24%,22%,25%
Net Profit,55,67,85,119,172
  └─ Minority share,0,0,-1,-1,-1
  └─ Exceptional items AT,-0,2,2,2,0
  └─ Profit excl Excep,55,65,84,117,172
  └─ Profit for PE,55,65,83,116,171
  └─ Profit for EPS,55,67,85,118,171
  └─ Profit Growth %,,18%,27%,39%,47%
EPS in Rs,18.08,22.09,27.33,37.61,53.35
Dividend Payout %,20%,0%,7%,7%,7%
