Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales,29,30,36,47,50,58,68,86,80,25,0,0
  └─ Sales Growth %,,2%,20%,32%,6%,16%,18%,26%,-7%,-69%,-99%,
Expenses,27,27,31,42,43,52,62,79,74,28,3,3
  └─ Material Cost %,77%,76%,77%,78%,72%,72%,73%,73%,76%,90%,563%,
    └─ Raw material cost,23.69,23.50,28.47,38.47,43.37,44.49,51.71,67.22,64.09,16.37,0.25,
    └─ Change in inventory,-0.96,-0.85,-1.13,-1.63,-7.45,-2.72,-2.00,-4.22,-3.61,5.96,1.44,
  └─ Manufacturing Cost %,9%,9%,8%,7%,8%,7%,7%,6%,6%,7%,10%,
  └─ Employee Cost %,3%,3%,2%,2%,4%,6%,5%,5%,6%,8%,263%,
  └─ Other Cost %,2%,2%,2%,2%,3%,4%,7%,7%,6%,9%,210%,
Operating Profit,3,3,4,5,7,6,6,7,5,-4,-3,-3
OPM %,10%,10%,12%,11%,13%,11%,9%,8%,7%,-15%,-947%,-2400%
Other Income,0,0,0,0,0,0,0,0,0,-48,17,34
  └─ Exceptional items,0.00,0.00,0.00,-0.01,-0.02,0.00,0.00,-0.06,-0.13,-48.12,16.72,
  └─ Other income normal,0.02,0.01,0.42,0.24,0.19,0.11,0.06,0.06,0.55,0.07,0.06,
Interest,2,2,2,2,2,4,4,4,4,4,2,1
Depreciation,1,1,1,1,1,2,2,2,2,1,0,0
Profit before tax,0,0,2,2,3,1,0,1,0,-56,12,30
Tax %,84%,81%,30%,11%,24%,32%,4%,25%,29%,-4%,9%,
Net Profit,0,0,1,2,2,1,0,1,0,-54,11,30
  └─ Exceptional items AT,0.00,0.00,0.00,-0.01,-0.01,0.00,0.00,-0.04,-0.07,-48.12,16.72,
  └─ Profit excl Excep,0.07,0.06,1.19,2.15,2.46,0.73,0.49,1.09,0.35,-5.66,-5.82,
  └─ Profit for PE,0.07,0.06,1.19,2.15,2.46,0.73,0.49,1.09,0.35,-5.66,-5.82,
  └─ Profit for EPS,0.07,0.06,1.19,2.14,2.45,0.73,0.49,1.05,0.28,-53.78,10.90,
  └─ Profit Growth %,,-14.29%,1883.33%,80.67%,14.42%,-70.33%,-32.88%,122.45%,-67.89%,-1717.14%,-2.83%,
EPS in Rs,0.26,0.22,4.41,2.14,2.45,0.73,0.49,1.05,0.28,-53.62,10.87,29.74
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
