Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,862,886,1267,2048,3154,3787,4819
  └─ Sales Growth %,,2.75%,43.00%,61.72%,53.97%,20.07%,27.26%
Expenses,727,784,1138,1856,2951,3463,4275
  └─ Material Cost %,64%,68%,70%,75%,79%,77%,74%
    └─ Raw material cost,562,593,935,1576,2615,2874,3618
    └─ Change in inventory,-8,5,-43,-35,-108,57,-32
  └─ Manufacturing Cost %,7%,7%,7%,8%,7%,6%,0%
  └─ Employee Cost %,9%,9%,7%,5%,5%,5%,5%
  └─ Other Cost %,4%,5%,5%,3%,3%,3%,10%
Operating Profit,135,102,129,192,203,323,545
OPM %,16%,11%,10%,9%,6%,9%,11%
Other Income,13,18,18,44,56,47,33
  └─ Exceptional items,2.88,0.06,0.99,0.88,-0.04,15.70,-4.57
  └─ Other income normal,9.82,17.63,16.76,42.79,56.26,31.58,37.81
Interest,15,10,11,26,41,58,48
Depreciation,19,23,25,31,51,75,84
Profit before tax,113,87,111,179,166,237,445
Tax %,19%,24%,31%,31%,25%,22%,22%
Net Profit,92,69,79,123,124,184,346
  └─ Profit from Associates,0,3,3,-0,0,0,0
  └─ Minority share,-0,-0,-2,-4,-17,-15,-28
  └─ Exceptional items AT,2,0,1,1,-0,12,-4
  └─ Profit excl Excep,89,69,78,122,124,173,349
  └─ Profit for PE,89,69,76,119,107,159,321
  └─ Profit for EPS,91,69,77,119,107,170,318
  └─ Profit Growth %,,-23%,11%,56%,-10%,48%,102%
EPS in Rs,1281.97,916.98,5.59,6.75,6.04,9.53,16.48
Dividend Payout %,0%,0%,0%,22%,25%,16%,9%
