Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,748,458,515,578,661,653,549,783,1164,1394,1434,2346
  └─ Sales Growth %,-9%,-39%,12%,12%,14%,-1%,-16%,43%,49%,20%,3%,64%
Expenses,653,580,609,575,605,705,495,671,1027,1208,1179,1926
  └─ Material Cost %,26%,60%,32%,25%,21%,29%,24%,23%,24%,23%,22%,54%
    └─ Raw material cost,198,260,149,148,159,159,145,179,296,310,353,1348
    └─ Change in inventory,-4,17,16,-6,-18,31,-14,4,-17,17,-37,-93
  └─ Manufacturing Cost %,31%,5%,39%,30%,34%,30%,34%,31%,35%,32%,34%,0%
  └─ Employee Cost %,3%,7%,6%,4%,5%,5%,5%,4%,3%,3%,4%,4%
  └─ Other Cost %,28%,54%,41%,41%,31%,44%,28%,27%,26%,28%,23%,24%
Operating Profit,95,-122,-94,3,56,-52,54,112,137,185,255,419
OPM %,13%,-27%,-18%,1%,8%,-8%,10%,14%,12%,13%,18%,18%
Other Income,2,3,2,33,5,485,11,24,85,11,18,-206
  └─ Exceptional items,-0,2,-2,2,2,456,-0,14,79,-2,2,-232
  └─ Other income normal,2,1,4,32,3,30,11,10,6,13,15,26
Interest,97,125,157,152,184,129,71,62,40,27,12,113
Depreciation,28,39,38,37,37,33,33,33,32,32,31,80
Profit before tax,-28,-283,-288,-153,-160,271,-39,41,150,138,230,21
Tax %,44%,-0%,-3%,-1%,-0%,1%,-0%,-10%,-0%,0%,-0%,0%
Net Profit,-40,-282,-280,-151,-160,270,-38,45,150,138,230,21
  └─ Profit from Associates,0,0,0,0,0,0,0,0,0,0,-0,0
  └─ Exceptional items AT,-0,2,-2,2,2,455,-0,14,79,-2,2,-232
  └─ Profit excl Excep,-40,-283,-277,-153,-162,-186,-38,32,71,140,228,253
  └─ Profit for PE,-40,-283,-277,-153,-162,-186,-38,32,71,140,228,253
  └─ Profit for EPS,-40,-282,-280,-151,-160,270,-38,45,150,138,230,21
  └─ Profit Growth %,-169%,-607%,2%,45%,-6%,-15%,79%,183%,125%,96%,63%,11%
EPS in Rs,-3.22,-22.58,-22.41,-12.11,-12.75,21.56,-3.06,2.85,8.09,7.16,11.86,0.84
Dividend Payout %,-2%,0%,0%,0%,0%,0%,0%,4%,3%,7%,8%,118%
