Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,651,713,745,751,840,818,703,852,1248,1654,2006,2181
  └─ Sales Growth %,25.64%,9.55%,4.45%,0.87%,11.83%,-2.63%,-14.10%,21.30%,46.38%,32.58%,21.28%,8.74%
Expenses,526,553,577,594,687,660,553,692,1012,1333,1566,1732
  └─ Material Cost %,59%,56%,52%,51%,56%,54%,51%,55%,52%,50%,50%,53%
    └─ Raw material cost,390,427,387,378,510,423,358,433,675,858,939,1167
    └─ Change in inventory,-7,-25,3,7,-41,18,-2,37,-28,-39,61,-8
  └─ Manufacturing Cost %,3%,3%,2%,3%,4%,2%,3%,3%,10%,12%,8%,0%
  └─ Employee Cost %,10%,10%,11%,12%,12%,13%,12%,12%,10%,10%,10%,10%
  └─ Other Cost %,9%,8%,12%,13%,10%,12%,13%,11%,9%,9%,10%,16%
Operating Profit,125,160,168,157,153,158,149,161,235,321,439,449
OPM %,19%,22%,23%,21%,18%,19%,21%,19%,19%,19%,22%,21%
Other Income,30,25,33,8,19,24,6,227,43,62,81,61
  └─ Exceptional items,-2,14,2,2,3,7,-10,213,25,32,35,-16
  └─ Other income normal,32,11,31,6,16,17,16,14,18,31,47,76
Interest,4,2,2,2,3,5,3,3,3,5,6,3
Depreciation,16,15,15,19,20,20,20,20,20,21,26,34
Profit before tax,136,167,185,144,149,156,132,365,256,358,489,473
Tax %,32%,32%,33%,33%,33%,22%,22%,26%,25%,25%,27%,26%
Net Profit,93,113,124,96,100,122,102,270,193,269,359,349
  └─ Minority share,-3,0,0,0,0,0,0,-0,-0,-0,-1,0
  └─ Exceptional items AT,-1,9,1,1,2,5,-7,155,19,24,24,-12
  └─ Profit excl Excep,94,104,122,95,98,116,110,115,174,246,334,361
  └─ Profit for PE,92,104,122,95,98,116,110,115,174,245,333,361
  └─ Profit for EPS,91,113,124,96,100,122,102,270,193,269,357,350
  └─ Profit Growth %,36%,13%,18%,-22%,4%,18%,-6%,5%,51%,41%,36%,9%
EPS in Rs,2.74,3.42,3.74,2.91,3.10,3.77,3.17,8.36,6.06,8.47,11.24,11.00
Dividend Payout %,31%,32%,32%,34%,0%,13%,38%,23%,0%,43%,36%,41%
