Metric,Mar 2024,Mar 2025,Mar 2026
Sales,908,602,682
  └─ Sales Growth %,,-33.71%,13.25%
Expenses,877,559,629
  └─ Material Cost %,92%,86%,88%
    └─ Raw material cost,840,536,633
    └─ Change in inventory,-6,-18,-34
  └─ Manufacturing Cost %,3%,4%,0%
  └─ Employee Cost %,1%,2%,2%
  └─ Other Cost %,0%,0%,3%
Operating Profit,31,43,53
OPM %,3%,7%,8%
Other Income,3,1,1
  └─ Exceptional items,1.23,0.00,0.00
  └─ Other income normal,1.61,1.01,0.79
Interest,9,10,10
Depreciation,13,13,13
Profit before tax,12,21,30
Tax %,46%,17%,20%
Net Profit,7,18,24
  └─ Exceptional items AT,0.66,0.00,0.00
  └─ Profit excl Excep,5.95,17.69,24.29
  └─ Profit for PE,5.95,17.69,24.29
  └─ Profit for EPS,6.61,17.69,24.29
  └─ Profit Growth %,,197.31%,37.31%
EPS in Rs,0.29,0.77,1.06
Dividend Payout %,0%,0%,0%
