Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,6770,7909,9299,10279,12036,11122,4374,5844,6891,7552,8154,8890
  └─ Sales Growth %,,16.83%,17.57%,10.54%,17.10%,-7.60%,-60.67%,33.62%,17.92%,9.59%,7.97%,9.03%
Expenses,6206,7341,8716,9398,10978,10306,4036,5484,6316,6796,7379,8061
  └─ Material Cost %,62%,64%,65%,62%,63%,63%,64%,66%,64%,63%,64%,64%
    └─ Raw material cost,4240,5100,6072,6413,7602,7019,2863,3903,4446,4745,5239,5761
    └─ Change in inventory,-47,-51,-35,-30,-26,-33,-72,-54,-15,-12,-30,-59
  └─ Manufacturing Cost %,9%,10%,9%,9%,9%,9%,12%,12%,11%,11%,10%,0%
  └─ Employee Cost %,13%,13%,13%,13%,12%,15%,12%,11%,10%,11%,11%,11%
  └─ Other Cost %,7%,6%,7%,7%,7%,7%,5%,6%,6%,6%,5%,16%
Operating Profit,564,568,582,881,1059,816,338,360,575,756,775,830
OPM %,8%,7%,6%,9%,9%,7%,8%,6%,8%,10%,10%,9%
Other Income,229,73,172,108,122,94,-556,-996,-821,69,-112,-22
  └─ Exceptional items,52.96,2.84,5.36,0.14,4.78,-3.30,-683.87,-1029.63,-845.01,-12.62,-141.05,-43.69
  └─ Other income normal,175.92,70.45,166.98,107.37,117.46,97.75,127.83,33.79,24.15,81.64,29.00,21.27
Interest,475,-43,90,86,97,139,89,118,190,194,170,134
Depreciation,254,292,337,386,566,732,274,305,337,337,323,332
Profit before tax,63,392,327,516,519,39,-581,-1059,-773,294,169,341
Tax %,73%,6%,4%,13%,17%,94%,8%,5%,6%,-81%,59%,33%
Net Profit,17,370,313,451,429,3,-629,-1107,-817,532,70,230
  └─ Minority share,0,0,-0,-1,-3,-2,-3,-3,-3,-6,-8,-5
  └─ Exceptional items AT,14,2,5,0,4,1,24,-1,11,8,-59,-29
  └─ Profit excl Excep,3,367,309,451,425,2,-652,-1106,-828,524,128,259
  └─ Profit for PE,3,367,309,450,422,0,-655,-1109,-831,518,113,254
  └─ Profit for EPS,17,370,313,450,425,0,-632,-1110,-820,526,61,225
  └─ Profit Growth %,,13210%,-16%,46%,-6%,-100%,-577347%,-69%,25%,162%,-78%,125%
EPS in Rs,16.06,353.36,254.29,36.57,31.54,0.01,-41.36,-72.64,-53.66,34.43,4.01,14.73
Dividend Payout %,16%,1%,13%,1%,14%,21284%,0%,0%,0%,0%,25%,10%
