Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales,352,388,373,322,268,319,331,343,367,363
  └─ Sales Growth %,,10.25%,-3.91%,-13.68%,-16.60%,18.83%,3.72%,3.70%,7.16%,
Expenses,269,307,298,255,215,267,272,282,303,303
  └─ Material Cost %,53%,57%,57%,52%,55%,59%,57%,56%,54%,
    └─ Raw material cost,195,235,215,172,140,182,184,182,196,
    └─ Change in inventory,-8,-13,-2,-4,7,4,4,9,2,
  └─ Manufacturing Cost %,7%,6%,7%,8%,8%,8%,8%,8%,9%,
  └─ Employee Cost %,6%,6%,7%,8%,7%,8%,8%,8%,8%,
  └─ Other Cost %,10%,9%,9%,11%,10%,10%,9%,11%,12%,
Operating Profit,82,81,74,67,53,52,59,61,64,60
OPM %,23%,21%,20%,21%,20%,16%,18%,18%,17%,17%
Other Income,2,2,2,8,7,11,11,25,25,30
  └─ Exceptional items,-0.06,1.12,0.02,0.78,0.00,0.05,0.09,3.72,0.38,
  └─ Other income normal,2.37,0.48,1.95,7.11,7.28,10.91,10.88,20.99,24.71,
Interest,0,0,0,0,0,0,0,0,0,0
Depreciation,12,15,17,18,18,16,14,12,12,11
Profit before tax,73,67,59,56,42,47,56,74,77,79
Tax %,33%,34%,34%,19%,25%,26%,25%,24%,26%,
Net Profit,49,44,39,45,32,35,42,56,57,60
  └─ Minority share,0,0,0,0,0,0,-0,0,0,
  └─ Exceptional items AT,-0,1,0,1,0,0,0,3,0,
  └─ Profit excl Excep,49,44,39,44,32,35,42,53,57,
  └─ Profit for PE,49,44,39,44,32,35,42,53,57,
  └─ Profit for EPS,49,45,39,45,32,35,42,56,57,
  └─ Profit Growth %,,-10%,-10%,13%,-28%,9%,19%,27%,7%,
EPS in Rs,40.48,37.11,32.71,37.56,26.76,29.13,34.74,46.44,47.61,49.96
Dividend Payout %,17%,19%,21%,19%,19%,27%,24%,22%,21%,
