Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,482,573,550,630,791,849,865,780,821,911,1098,1181,1115
  └─ YOY Sales Growth %,7.80%,21.63%,8.95%,21.79%,64.08%,48.23%,57.30%,23.85%,3.74%,7.31%,26.92%,51.47%,35.91%
Expenses,210,220,237,255,505,272,324,336,360,346,401,456,452
  └─ Material Cost %,0.00%,0.00%,0.00%,0.00%,18.96%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
  └─ Employee Cost %,26.37%,25.80%,28.19%,26.60%,27.35%,22.10%,25.24%,29.70%,30.06%,27.04%,24.81%,26.59%,26.85%
Operating Profit,272,353,313,375,286,577,541,444,461,566,697,725,663
OPM %,56%,62%,57%,60%,36%,68%,63%,57%,56%,62%,63%,61%,59%
Other Income,48,8,73,41,260,-1,28,154,101,69,9,39,54
  └─ Exceptional items,0,0,0,0,0,-88,0,0,0,0,0,0,0
  └─ Other income normal,48,8,73,41,260,86,28,154,101,69,9,39,54
Interest,108,125,146,167,207,214,232,222,218,229,254,296,312
Depreciation,12,13,14,14,17,16,17,17,20,32,39,41,43
Profit before tax,200,224,227,235,323,345,319,359,324,374,413,427,363
Tax %,22%,18%,18%,18%,25%,29%,23%,23%,23%,24%,24%,23%,20%
Net Profit,155,184,186,192,243,244,245,276,250,285,315,327,289
  └─ Minority share,0,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Exceptional items AT,0,0,0,0,0,-62,0,0,0,0,0,0,0
  └─ Profit excl Excep,155,184,186,192,243,306,245,276,250,285,315,327,289
  └─ Profit for PE,155,184,186,192,243,306,245,276,250,285,315,327,289
  └─ Profit for EPS,155,184,186,192,243,244,245,276,250,285,315,327,289
  └─ YOY Profit Growth %,-6%,17%,7%,12%,56%,66%,32%,44%,3%,-7%,29%,18%,16%
EPS in Rs,4.37,5.15,5.20,5.36,6.76,6.72,6.73,7.12,6.35,7.04,7.79,8.08,7.11
Raw PDF,,,,,,,,,,,,,
