Metric,Jun 2020,Sep 2020,Dec 2024,Sep 2025,Dec 2025,Mar 2026
Sales,0,0,18,184,138,214
  └─ YOY Sales Growth %,,,,,646.10%,
Expenses,0,0,15,162,110,174
  └─ Material Cost %,,,70.53%,83.72%,24.56%,31.59%
  └─ Employee Cost %,,,4.77%,2.26%,4.10%,4.69%
Operating Profit,-0,-0,4,22,28,39
OPM %,,,20%,12%,20%,18%
Other Income,0,0,0,0,0,0
  └─ Other income normal,0.00,0.00,0.41,0.06,0.19,0.13
Interest,0,0,0,6,9,14
Depreciation,0,0,0,0,1,1
Profit before tax,-0,-0,4,16,18,24
Tax %,0%,0%,25%,29%,16%,27%
Net Profit,-0,-0,3,11,15,18
  └─ Profit from Associates,0.00,0.00,0.00,0.00,-0.51,0.29
  └─ Profit excl Excep,-0.04,-0.02,2.96,11.22,14.55,18.17
  └─ Profit for PE,-0.04,-0.02,2.96,11.22,14.55,18.17
  └─ Profit for EPS,-0.04,-0.02,2.96,11.22,14.55,18.17
  └─ YOY Profit Growth %,,,,,391.55%,
EPS in Rs,-0.11,-0.06,0.41,1.56,2.02,2.52
Raw PDF,,,,,,
