Metric,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020
Sales,25.81,34.82,33.17,40.35,26.64,34.86,28.98,33.46,6.96,28.88
  └─ YOY Sales Growth %,,,,,3.22%,0.11%,-12.63%,-17.08%,-73.87%,-17.15%
Expenses,24.16,32.12,31.77,36.16,26.71,33.53,30.30,30.86,11.59,28.91
  └─ Material Cost %,41.50%,45.43%,49.80%,49.57%,44.67%,43.95%,47.41%,42.65%,40.23%,48.68%
  └─ Employee Cost %,29.48%,26.65%,25.72%,21.41%,32.24%,29.49%,33.30%,31.02%,88.65%,32.55%
Operating Profit,1.65,2.70,1.40,4.19,-0.07,1.33,-1.32,2.60,-4.63,-0.03
OPM %,6.39%,7.75%,4.22%,10.38%,-0.26%,3.82%,-4.55%,7.77%,-66.52%,-0.10%
Other Income,0.54,0.38,0.74,0.76,-0.07,1.00,0.58,0.49,0.48,0.34
  └─ Other income normal,0.54,0.38,0.74,0.76,-0.07,1.00,0.58,0.49,0.48,0.34
Interest,0.82,0.83,0.70,0.82,0.72,0.76,0.62,0.70,0.79,0.56
Depreciation,1.23,1.28,1.30,1.33,1.12,1.20,1.29,1.28,1.07,1.06
Profit before tax,0.14,0.97,0.14,2.80,-1.98,0.37,-2.65,1.11,-6.01,-1.31
Tax %,42.86%,49.48%,50.00%,-1.79%,-7.58%,56.76%,3.40%,-129.73%,-5.32%,-8.40%
Net Profit,0.07,0.49,0.08,2.85,-1.83,0.16,-2.74,2.55,-5.69,-1.21
  └─ Profit excl Excep,0,0,0,3,-2,0,-3,3,-6,-1
  └─ Profit for PE,0,0,0,3,-2,0,-3,3,-6,-1
  └─ Profit for EPS,0,0,0,3,-2,0,-3,3,-6,-1
  └─ YOY Profit Growth %,,,,,-2714%,-67%,-3525%,-11%,-211%,-856%
EPS in Rs,0.29,2.05,0.33,11.92,-7.66,0.67,-11.46,10.67,-23.80,-5.06
Raw PDF,,,,,,,,,,
