Metric,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017
Revenue,0.95,0.00,0.00,2.48,0.00,0.08,0.05
  └─ YOY Sales Growth %,,,,,-100.00%,,
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Expenses,1.74,0.34,0.22,2.85,0.25,0.27,0.27
  └─ Material Cost %,161%,,,63%,,0%,0%
  └─ Employee Cost %,8%,,,30%,,175%,260%
Financing Profit,-0.79,-0.34,-0.22,-0.37,-0.25,-0.19,-0.22
Financing Margin %,-83.16%,,,-14.92%,,-237.50%,-440.00%
Other Income,0.41,0.44,0.10,-0.04,0.35,0.26,0.20
  └─ Other income normal,0.41,0.44,0.10,-0.04,0.35,0.26,0.20
Depreciation,0.00,0.04,0.03,0.09,0.04,0.03,0.01
Profit before tax,-0.38,0.06,-0.15,-0.50,0.06,0.04,-0.03
Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Net Profit,-0.38,0.07,-0.14,-0.50,0.05,0.05,-0.03
  └─ Profit excl Excep,-0,0,-0,-0,0,0,-0
  └─ Profit for PE,-0,0,-0,-0,0,0,-0
  └─ Profit for EPS,-0,0,-0,-0,0,0,-0
  └─ YOY Profit Growth %,,,,,113%,-29%,79%
EPS in Rs,-0.92,0.17,-0.34,-1.21,0.12,0.12,-0.07
Gross NPA %,,,,,,,
Net NPA %,,,,,,,
Raw PDF,,,,,,,
