Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,80,59,70,42,4,0,0
  └─ YOY Sales Growth %,,,,,-95%,-100%,-99%
Expenses,77,57,64,38,4,0,4
  └─ Material Cost %,96%,97%,98%,91%,74%,,140%
  └─ Employee Cost %,0%,0%,0%,0%,3%,,156%
Operating Profit,3,2,6,4,1,-0,-3
OPM %,3%,3%,8%,9%,17%,,-626%
Other Income,0,1,1,1,1,1,73
  └─ Other income normal,0,1,1,1,1,1,73
Interest,3,3,-5,1,0,0,-1
Depreciation,0,0,0,0,0,0,0
Profit before tax,0,0,12,3,2,0,71
Tax %,0%,0%,6%,0%,0%,0%,34%
Net Profit,0,0,11,3,2,0,47
  └─ Minority share,0,0,0,0,0,0,0
  └─ Profit excl Excep,0,0,11,3,2,0,47
  └─ Profit for PE,0,0,11,3,2,0,47
  └─ Profit for EPS,0,0,11,3,2,0,47
  └─ YOY Profit Growth %,,,,,652%,356%,331%
EPS in Rs,0.02,0.01,1.00,0.29,0.13,0.03,3.98
Raw PDF,,,,,,,
