Metric,Dec 2007,Mar 2008,Jun 2008,Sep 2008,Dec 2008,Mar 2009,Jun 2009,Sep 2009,Dec 2009,Mar 2010,Jun 2010,Sep 2010,Dec 2010
Sales,0.90,0.46,0.62,1.39,1.61,0.33,0.77,1.66,0.38,0.61,2.59,1.38,0.87
  └─ YOY Sales Growth %,,53%,107%,216%,79%,-28%,24%,19%,-76%,85%,236%,-17%,129%
Expenses,0.45,0.57,0.41,0.54,0.84,0.76,0.63,0.80,0.73,0.82,1.05,0.96,0.82
  └─ Material Cost %,1%,0%,0%,0%,17%,0%,0%,0%,97%,0%,0%,1%,53%
  └─ Employee Cost %,3%,7%,13%,3%,2%,12%,5%,2%,13%,8%,2%,4%,6%
Operating Profit,0.45,-0.11,0.21,0.85,0.77,-0.43,0.14,0.86,-0.35,-0.21,1.54,0.42,0.05
OPM %,50.00%,-23.91%,33.87%,61.15%,47.83%,-130.30%,18.18%,51.81%,-92.11%,-34.43%,59.46%,30.43%,5.75%
Other Income,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.03
  └─ Other income normal,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.03
Interest,0.02,0.10,0.03,0.05,0.02,0.02,0.00,0.01,0.00,0.01,0.00,0.00,0.00
Depreciation,0.05,0.05,0.04,0.03,0.04,0.04,0.03,0.04,0.04,0.04,0.03,0.03,0.04
Profit before tax,0.38,-0.26,0.14,0.77,0.75,-0.49,0.11,0.81,-0.38,-0.26,1.52,0.39,0.04
Tax %,-5.26%,3.85%,0.00%,0.00%,0.00%,2.04%,0.00%,0.00%,0.00%,0.00%,0.00%,35.90%,25.00%
Net Profit,0.40,-0.27,0.14,0.77,0.75,-0.50,0.11,0.81,-0.38,-0.26,1.52,0.25,0.03
  └─ Profit excl Excep,0,-0,0,1,1,-0,0,1,-0,-0,2,0,0
  └─ Profit for PE,0,-0,0,1,1,-0,0,1,-0,-0,2,0,0
  └─ Profit for EPS,0,-0,0,1,1,-0,0,1,-0,-0,2,0,0
  └─ YOY Profit Growth %,,41%,178%,,88%,-85%,-21%,5%,-151%,48%,1282%,-69%,108%
EPS in Rs,,-0.30,0.16,0.87,0.85,-0.56,0.12,0.91,-0.43,-0.29,1.71,0.28,0.03
Raw PDF,,,,,,,,,,,,,
