Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Expenses,1.18,4.21,0.08,4.99,1.20,3.75,0.09,5.77,5.62,0.13,0.09,6.89,4.61
Operating Profit,-1.18,-4.21,-0.08,-4.99,-1.20,-3.75,-0.09,-5.77,-5.62,-0.13,-0.09,-6.89,-4.61
OPM %,,,,,,,,,,,,,
Other Income,0.00,0.00,4.38,0.00,0.00,0.00,9.52,0.00,-0.28,3.43,4.18,0.00,-0.21
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.28,-0.04,-0.01,0.00,-0.21
  └─ Other income normal,0.00,0.00,4.38,0.00,0.00,0.00,9.52,0.00,0.00,3.47,4.19,0.00,0.00
Interest,0.08,0.08,0.08,0.08,0.09,0.09,0.12,0.09,0.10,0.11,0.11,0.11,0.12
Depreciation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Profit before tax,-1.26,-4.29,4.22,-5.07,-1.29,-3.84,9.31,-5.86,-6.00,3.19,3.98,-7.00,-4.94
Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Net Profit,-1.26,-4.29,4.22,-5.07,-1.29,-3.84,9.31,-5.86,-6.00,3.19,3.98,-7.00,-4.94
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.28,-0.04,-0.01,0.00,-0.21
  └─ Profit excl Excep,-1.26,-4.29,4.22,-5.07,-1.29,-3.84,9.31,-5.86,-5.72,3.23,3.99,-7.00,-4.73
  └─ Profit for PE,-1.26,-4.29,4.22,-5.07,-1.29,-3.84,9.31,-5.86,-5.72,3.23,3.99,-7.00,-4.73
  └─ Profit for EPS,-1.26,-4.29,4.22,-5.07,-1.29,-3.84,9.31,-5.86,-6.00,3.19,3.98,-7.00,-4.94
  └─ YOY Profit Growth %,-740.00%,-2964.29%,154.22%,-2012.50%,-2.38%,10.49%,120.62%,-15.58%,-343.41%,184.11%,-57.14%,-19.45%,17.31%
EPS in Rs,-0.42,-1.43,1.41,-1.70,-0.43,-1.28,3.11,-1.96,-1.74,0.93,1.16,-2.03,-1.44
Raw PDF,,,,,,,,,,,,,
