Metric,Mar 2012,Mar 2013
Revenue,0.60,0.65
  └─ YOY Sales Growth %,,8.33%
Interest,0.48,0.58
Expenses,0.02,0.18
  └─ Employee Cost %,0.00%,1.54%
Financing Profit,0.10,-0.11
Financing Margin %,16.67%,-16.92%
Other Income,0.02,0.00
  └─ Other income normal,0.02,0.00
Depreciation,0.00,0.00
Profit before tax,0.12,-0.11
Tax %,0.00%,0.00%
Net Profit,0.12,-0.11
  └─ Profit excl Excep,0,-0
  └─ Profit for PE,0,-0
  └─ Profit for EPS,0,-0
  └─ YOY Profit Growth %,,-192%
EPS in Rs,0.08,-0.07
Gross NPA %,,
Net NPA %,,
Raw PDF,,
