Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,20.01,22.29,15.84,21.81,18.54,17.11,17.76,19.42,15.72,16.50,17.75,22.11,24.28
  └─ YOY Sales Growth %,,,,,-7%,-23%,12%,-11%,-15%,-4%,-0%,14%,54%
Expenses,14.90,18.43,13.50,17.43,15.92,15.05,15.40,16.73,13.61,14.87,15.96,18.58,20.10
  └─ Material Cost %,37.48%,42.93%,36.17%,43.24%,34.57%,43.60%,39.64%,41.66%,30.66%,48.36%,43.89%,34.06%,38.06%
  └─ Employee Cost %,8.75%,11.98%,13.19%,9.45%,10.84%,11.98%,11.88%,11.17%,14.12%,12.91%,12.68%,11.85%,10.83%
Operating Profit,5.11,3.86,2.34,4.38,2.62,2.06,2.36,2.69,2.11,1.63,1.79,3.53,4.18
OPM %,25.54%,17.32%,14.77%,20.08%,14.13%,12.04%,13.29%,13.85%,13.42%,9.88%,10.08%,15.97%,17.22%
Other Income,0.18,0.18,0.24,0.56,0.35,0.39,0.26,0.61,0.24,0.44,0.63,0.60,0.36
  └─ Other income normal,0.18,0.18,0.24,0.56,0.35,0.39,0.26,0.61,0.24,0.44,0.63,0.60,0.36
Interest,0.47,0.31,0.21,0.17,0.13,0.13,0.33,0.60,0.69,0.86,0.83,0.76,0.70
Depreciation,0.58,0.57,0.58,0.58,0.55,0.56,0.73,0.92,0.99,1.18,1.20,1.19,1.17
Profit before tax,4.24,3.16,1.79,4.19,2.29,1.76,1.56,1.78,0.67,0.03,0.39,2.18,2.67
Tax %,31.13%,26.27%,30.17%,36.75%,3.49%,29.55%,26.28%,25.84%,68.66%,-233.33%,46.15%,27.98%,30.71%
Net Profit,2.92,2.33,1.24,2.66,2.21,1.24,1.15,1.32,0.21,0.09,0.21,1.58,1.85
  └─ Profit excl Excep,3,2,1,3,2,1,1,1,0,0,0,2,2
  └─ Profit for PE,3,2,1,3,2,1,1,1,0,0,0,2,2
  └─ Profit for EPS,3,2,1,3,2,1,1,1,0,0,0,2,2
  └─ YOY Profit Growth %,,,,,-24%,-47%,-7%,-50%,-90%,-93%,-82%,20%,781%
EPS in Rs,1.97,1.57,0.84,1.80,1.49,0.84,0.78,0.89,0.14,0.06,0.14,1.07,1.25
Raw PDF,,,,,,,,,,,,,
