Metric,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,3.57,6.26,4.44,9.99,3.80,2.41
Expenses,2.09,2.24,3.17,6.35,3.38,3.28
  └─ Employee Cost %,26%,23%,35%,19%,55%,86%
Operating Profit,1.48,4.02,1.27,3.64,0.42,-0.87
OPM %,41.46%,64.22%,28.60%,36.44%,11.05%,-36.10%
Other Income,0.08,0.05,0.04,0.71,0.44,1.02
  └─ Other income normal,0.08,0.05,0.04,0.71,0.44,1.02
Interest,0.04,0.02,0.02,0.01,0.02,0.02
Depreciation,0.04,0.06,0.10,0.12,0.28,0.10
Profit before tax,1.48,3.99,1.19,4.22,0.56,0.03
Tax %,25.00%,26.07%,25.21%,25.12%,37.50%,-233.33%
Net Profit,1.10,2.95,0.89,3.16,0.34,0.10
  └─ Minority share,0.00,-0.14,-0.05,-0.85,-0.02,0.15
  └─ Profit excl Excep,1.10,2.95,0.89,3.16,0.34,0.10
  └─ Profit for PE,1.10,2.81,0.84,2.31,0.32,0.25
  └─ Profit for EPS,1.10,2.81,0.84,2.31,0.32,0.25
EPS in Rs,9.90,3.12,0.68,1.88,0.26,0.20
Raw PDF,,,,,,
