Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,26.88,19.71,18.30,21.24,21.80,30.89,26.01,23.05,23.35
  └─ YOY Sales Growth %,,,,,-18.90%,56.72%,42.13%,8.52%,7.11%
Expenses,24.15,15.89,14.83,17.34,19.01,23.95,22.67,21.02,21.15
  └─ Material Cost %,15.89%,8.27%,11.37%,12.38%,9.54%,12.37%,14.23%,12.10%,15.76%
  └─ Employee Cost %,29.28%,30.19%,34.48%,32.91%,37.16%,25.12%,29.33%,33.62%,40.17%
Operating Profit,2.73,3.82,3.47,3.90,2.79,6.94,3.34,2.03,2.20
OPM %,10.16%,19.38%,18.96%,18.36%,12.80%,22.47%,12.84%,8.81%,9.42%
Other Income,0.81,0.15,0.06,0.10,0.05,0.39,0.53,0.37,0.31
  └─ Other income normal,0.81,0.15,0.06,0.10,0.05,0.39,0.53,0.37,0.31
Interest,0.43,0.48,0.35,0.48,0.35,0.60,0.54,0.48,0.35
Depreciation,1.82,2.00,1.80,1.84,1.95,1.96,1.71,1.74,1.78
Profit before tax,1.29,1.49,1.38,1.68,0.54,4.77,1.62,0.18,0.38
Tax %,25.58%,28.86%,25.36%,25.60%,24.07%,26.42%,26.54%,38.89%,28.95%
Net Profit,0.97,1.06,1.04,1.26,0.41,3.51,1.20,0.11,0.26
  └─ Profit excl Excep,0.97,1.06,1.04,1.26,0.41,3.51,1.20,0.11,0.26
  └─ Profit for PE,0.97,1.06,1.04,1.26,0.41,3.51,1.20,0.11,0.26
  └─ Profit for EPS,0.97,1.06,1.04,1.26,0.41,3.51,1.20,0.11,0.26
  └─ YOY Profit Growth %,,,,,-57.73%,231.13%,15.38%,-91.27%,-36.59%
EPS in Rs,0.10,0.10,0.10,0.12,0.04,0.35,0.12,0.01,0.03
Raw PDF,,,,,,,,,
