Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,70,83,84,73,78,90,95,100,92,84,111,121,126
  └─ YOY Sales Growth %,,,23.37%,10.97%,10.99%,8.22%,12.98%,36.47%,17.90%,-6.04%,16.72%,21.13%,37.25%
Expenses,51,67,66,59,63,72,75,78,73,69,85,93,96
  └─ Material Cost %,56%,65%,63%,62%,63%,60%,59%,60%,58%,59%,56%,56%,57%
  └─ Employee Cost %,10%,8%,7%,9%,9%,9%,9%,9%,8%,11%,10%,9%,8%
Operating Profit,19,16,18,14,14,18,20,22,19,15,26,28,30
OPM %,27%,19%,21%,19%,19%,20%,21%,22%,21%,18%,23%,23%,24%
Other Income,0,1,0,1,1,1,1,1,0,0,0,0,1
  └─ Exceptional items,0.00,0.16,-0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,0.03,0.99,0.36,1.19,1.31,1.03,0.81,0.57,0.12,0.33,0.18,0.23,0.62
Interest,1,1,1,0,0,0,0,0,0,0,0,0,0
Depreciation,2,1,2,2,2,2,2,3,4,6,6,6,8
Profit before tax,16,15,15,13,14,17,19,20,15,10,20,22,23
Tax %,23%,24%,24%,32%,28%,26%,27%,23%,25%,26%,28%,25%,22%
Net Profit,13,11,12,9,10,12,14,15,11,7,14,16,18
  └─ Exceptional items AT,0,0,-0,0,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,13,11,12,9,10,12,14,15,11,7,14,16,18
  └─ Profit for PE,13,11,12,9,10,12,14,15,11,7,14,16,18
  └─ Profit for EPS,13,11,12,9,10,12,14,15,11,7,14,16,18
  └─ YOY Profit Growth %,,,56%,76%,-20%,13%,17%,68%,12%,-42%,4%,8%,57%
EPS in Rs,1.10,0.97,0.90,0.70,0.78,0.96,1.06,1.18,0.87,0.55,1.10,1.28,1.33
Raw PDF,,,,,,,,,,,,,
