Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,23.77,27.03,28.84,30.05,30.41,33.13,35.91,35.99,34.93,34.07,33.35,35.70,34.75
  └─ YOY Sales Growth %,30.60%,19.87%,51.23%,34.81%,27.93%,22.57%,24.51%,19.77%,14.86%,2.84%,-7.13%,-0.81%,-0.52%
Expenses,21.23,23.17,24.13,24.51,24.63,26.59,28.89,28.08,25.75,27.54,26.65,28.58,30.51
  └─ Material Cost %,30.75%,37.62%,35.78%,36.74%,32.95%,35.92%,38.87%,31.15%,28.49%,35.22%,33.58%,35.55%,33.44%
  └─ Employee Cost %,36.90%,35.37%,34.67%,33.04%,34.33%,32.42%,30.30%,34.57%,34.38%,35.02%,34.36%,33.11%,36.81%
Operating Profit,2.54,3.86,4.71,5.54,5.78,6.54,7.02,7.91,9.18,6.53,6.70,7.12,4.24
OPM %,10.69%,14.28%,16.33%,18.44%,19.01%,19.74%,19.55%,21.98%,26.28%,19.17%,20.09%,19.94%,12.20%
Other Income,1.90,1.71,1.89,1.76,1.96,1.88,2.11,2.14,4.22,2.26,3.77,1.67,2.64
  └─ Exceptional items,-0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.84,0.00,0.00,-1.33,-0.05
  └─ Other income normal,2.11,1.71,1.89,1.76,1.96,1.88,2.11,2.14,3.38,2.26,3.77,3.00,2.69
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01
Depreciation,0.26,0.23,0.23,0.23,0.31,0.31,0.31,0.26,0.28,0.30,0.32,0.39,0.37
Profit before tax,4.18,5.34,6.37,7.07,7.43,8.11,8.82,9.78,13.11,8.48,10.14,8.39,6.50
Tax %,25.84%,24.16%,24.49%,24.33%,25.57%,23.92%,24.15%,26.48%,22.96%,25.59%,27.12%,26.34%,10.15%
Net Profit,3.10,4.05,4.80,5.35,5.53,6.17,6.69,7.20,10.10,6.32,7.38,6.18,5.85
  └─ Minority share,-0.02,0.01,-0.01,-0.01,-0.02,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Exceptional items AT,-0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.64,0.00,0.00,-0.93,-0.04
  └─ Profit excl Excep,3.31,4.05,4.80,5.35,5.53,6.17,6.69,7.20,9.46,6.32,7.38,7.11,5.89
  └─ Profit for PE,3.29,4.06,4.79,5.34,5.51,6.17,6.68,7.20,9.46,6.32,7.38,7.11,5.89
  └─ Profit for EPS,3.08,4.06,4.79,5.34,5.51,6.17,6.68,7.20,10.10,6.32,7.38,6.18,5.85
  └─ YOY Profit Growth %,79.71%,37.16%,40.06%,68.99%,67.55%,51.97%,39.46%,34.83%,71.69%,2.43%,10.48%,-1.25%,-37.74%
EPS in Rs,1.53,2.01,2.37,2.64,2.73,3.06,3.31,3.57,5.00,3.13,3.65,3.06,2.90
Raw PDF,,,,,,,,,,,,,
