Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1570,1415,1372,1253,1469,1006,886,864,953,932,941,858,983
  └─ YOY Sales Growth %,-21.90%,-28.23%,-19.21%,-27.05%,-6.44%,-28.88%,-35.46%,-31.06%,-35.14%,-7.33%,6.26%,-0.65%,3.15%
Expenses,1640,1403,1336,1259,1464,986,931,906,976,913,937,858,979
  └─ Material Cost %,74%,68%,66%,70%,68%,55%,56%,51%,51%,49%,50%,48%,56%
  └─ Employee Cost %,8%,9%,9%,8%,9%,12%,13%,15%,14%,14%,14%,15%,11%
Operating Profit,-70,12,36,-6,5,20,-46,-42,-23,20,4,0,4
OPM %,-4%,1%,3%,-0%,0%,2%,-5%,-5%,-2%,2%,0%,0%,0%
Other Income,8,5,10,0,8,6,13,7,179,33,59,1,13
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.14,25.60,5.25,-0.10,0.04
  └─ Other income normal,8.22,5.41,9.90,0.02,7.89,6.04,13.12,6.77,85.14,6.99,53.68,0.68,12.86
Interest,143,154,142,144,156,156,158,158,156,156,157,153,148
Depreciation,92,90,79,79,77,77,72,75,75,68,68,65,61
Profit before tax,-297,-226,-175,-229,-220,-207,-262,-268,-74,-172,-162,-218,-194
Tax %,0%,0%,0%,1%,-2%,0%,0%,2%,0%,0%,0%,0%,-1%
Net Profit,-298,-226,-175,-230,-216,-207,-262,-273,-74,-172,-162,-218,-193
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,94,26,5,-0,0
  └─ Profit excl Excep,-298,-226,-175,-230,-216,-207,-262,-273,-168,-197,-168,-218,-193
  └─ Profit for PE,-298,-226,-175,-230,-216,-207,-262,-273,-168,-197,-168,-218,-193
  └─ Profit for EPS,-298,-226,-175,-230,-216,-207,-262,-273,-74,-172,-162,-218,-193
  └─ YOY Profit Growth %,-1012%,-60%,9%,8%,27%,9%,-50%,-19%,22%,5%,36%,20%,-14%
EPS in Rs,-0.60,-0.46,-0.35,-0.46,-0.43,-0.42,-0.53,-0.55,-0.15,-0.35,-0.33,-0.44,-0.39
Raw PDF,,,,,,,,,,,,,
