Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,4431,4545,4630,4178,4766,4974,4774,5433,5509,5170,5206,5982,6269
  └─ YOY Sales Growth %,5.13%,32.17%,16.66%,-3.45%,7.55%,9.45%,3.10%,30.04%,15.59%,3.93%,9.06%,10.12%,13.81%
Expenses,4108,4238,4305,3898,4485,4673,4636,5087,5095,4798,4759,5511,5758
  └─ Material Cost %,85%,86%,86%,86%,87%,86%,89%,86%,85%,85%,83%,85%,84%
  └─ Employee Cost %,1%,1%,1%,2%,1%,2%,2%,2%,1%,2%,2%,2%,2%
Operating Profit,323,307,325,280,280,302,138,346,414,372,447,472,511
OPM %,7%,7%,7%,7%,6%,6%,3%,6%,8%,7%,9%,8%,8%
Other Income,18,22,20,15,19,25,15,22,35,26,25,25,36
  └─ Other income normal,17.96,21.67,19.61,15.02,18.57,24.71,14.78,21.65,34.92,25.57,25.07,24.72,36.49
Interest,25,27,27,28,31,28,36,37,32,33,28,33,32
Depreciation,47,41,41,47,47,46,47,50,58,54,58,59,59
Profit before tax,269,261,277,219,221,252,70,280,359,310,386,404,457
Tax %,25%,26%,27%,24%,23%,23%,23%,23%,18%,23%,22%,23%,22%
Net Profit,202,194,203,166,170,193,54,217,293,237,302,310,354
  └─ Profit excl Excep,202,194,203,166,170,193,54,217,293,237,302,310,354
  └─ Profit for PE,202,194,203,166,170,193,54,217,293,237,302,310,354
  └─ Profit for EPS,202,194,203,166,170,193,54,217,293,237,302,310,354
  └─ YOY Profit Growth %,24%,60%,35%,-2%,-16%,-0%,-73%,31%,72%,23%,460%,43%,21%
EPS in Rs,7.28,6.98,7.32,5.96,6.14,6.96,1.94,7.82,10.56,8.55,10.86,11.17,12.76
Raw PDF,,,,,,,,,,,,,
