Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,2448,1935,2154,2657,3052,2465,2489,2388,2694,1887,1851,1827,1954
  └─ YOY Sales Growth %,22.93%,3.01%,19.17%,35.86%,24.65%,27.40%,15.53%,-10.13%,-11.71%,-23.46%,-25.62%,-23.48%,-27.47%
Expenses,1893,1462,1608,2070,2426,1866,1584,1749,1917,1288,1266,1392,1696
  └─ Material Cost %,71%,65%,66%,71%,73%,68%,55%,65%,64%,59%,60%,66%,76%
  └─ Employee Cost %,4%,5%,5%,4%,4%,5%,5%,5%,4%,6%,6%,5%,5%
Operating Profit,556,473,546,587,626,599,905,639,777,599,585,435,258
OPM %,23%,24%,25%,22%,21%,24%,36%,27%,29%,32%,32%,24%,13%
Other Income,-42,38,41,42,193,29,40,39,61,50,-163,2416,25
  └─ Exceptional items,-72.00,0.00,0.00,0.00,106.92,0.00,0.00,0.00,0.00,0.00,-219.29,2376.30,-13.34
  └─ Other income normal,29.82,38.16,41.28,41.82,86.01,29.46,40.23,38.56,61.46,50.20,56.75,39.24,38.03
Interest,288,319,321,337,334,308,307,313,318,311,318,200,82
Depreciation,87,96,99,103,68,94,98,58,40,38,40,42,41
Profit before tax,139,97,167,189,417,227,540,307,481,300,64,2609,160
Tax %,132%,26%,29%,48%,39%,30%,14%,-116%,6%,24%,-41%,19%,8%
Net Profit,-45,72,119,99,254,158,462,662,452,227,91,2111,147
  └─ Minority share,3,-4,-7,-3,-5,-8,-5,-7,-19,-10,-13,0,-4
  └─ Exceptional items AT,23,0,0,0,65,0,0,0,0,0,-151,1923,-10
  └─ Profit excl Excep,-68,72,119,99,189,158,462,662,452,227,242,188,157
  └─ Profit for PE,-64,68,112,96,186,150,457,655,432,217,208,188,153
  └─ Profit for EPS,-42,68,112,96,250,150,457,655,432,217,78,2111,143
  └─ YOY Profit Growth %,-128%,-50%,76%,-29%,392%,122%,307%,580%,133%,45%,-54%,-71%,-65%
EPS in Rs,-1.49,2.41,4.00,3.43,8.89,5.36,16.28,23.32,15.40,7.74,2.78,75.21,5.10
Raw PDF,,,,,,,,,,,,,
