Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1217,1238,1324,1383,1323,1343,1448,1512,1417,1442,1549,1616,1533
  └─ YOY Sales Growth %,4.34%,-4.31%,-0.06%,3.43%,8.74%,8.50%,9.36%,9.31%,7.14%,7.39%,6.96%,6.91%,8.20%
Expenses,1017,1047,1102,1170,1097,1141,1230,1272,1204,1246,1297,1335,1311
  └─ Employee Cost %,17.17%,17.54%,17.35%,16.91%,17.11%,17.87%,17.08%,15.95%,16.91%,18.09%,17.26%,15.98%,16.70%
Operating Profit,199,191,223,213,226,202,218,239,213,196,252,281,222
OPM %,16%,15%,17%,15%,17%,15%,15%,16%,15%,14%,16%,17%,14%
Other Income,9,10,5,24,11,9,9,12,12,10,10,-33,12
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-43.90,-0.13
  └─ Other income normal,8.67,10.20,5.23,24.35,11.06,9.08,8.67,11.96,12.27,9.86,9.59,10.49,11.98
Interest,15,19,20,20,19,21,21,21,20,19,22,24,22
Depreciation,96,99,111,111,113,118,121,121,124,121,131,145,140
Profit before tax,97,82,98,108,105,72,85,109,81,66,109,79,73
Tax %,28%,26%,25%,17%,26%,26%,26%,26%,32%,26%,26%,14%,33%
Net Profit,69,61,73,89,78,53,63,81,55,49,81,68,49
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-37.03,-0.09
  └─ Profit excl Excep,69.44,61.28,73.06,88.89,77.78,53.42,62.84,81.01,55.15,48.83,81.38,105.36,48.94
  └─ Profit for PE,69.44,61.28,73.06,88.89,77.78,53.42,62.84,81.01,55.15,48.83,81.38,105.36,48.94
  └─ Profit for EPS,69.44,61.28,73.06,88.89,77.78,53.42,62.84,81.01,55.15,48.83,81.38,68.33,48.85
  └─ YOY Profit Growth %,-49.30%,-48.41%,-21.98%,0.26%,12.01%,-12.83%,-13.99%,-8.86%,-29.09%,-8.59%,29.50%,30.06%,-11.26%
EPS in Rs,29.27,25.83,30.79,37.46,32.78,22.51,26.48,34.14,23.24,20.58,34.30,28.80,20.59
Raw PDF,,,,,,,,,,,,,
