Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,0.00,0.00,0.00,0.00,7.09,0.00,0.00,85.22,214.19,203.31,216.49,192.12,261.36
  └─ YOY Sales Growth %,,,,,,,,,2921.02%,,,125.44%,22.02%
Expenses,0.07,0.30,0.61,1.26,7.99,1.07,3.51,77.40,254.74,179.50,215.21,208.27,257.14
  └─ Material Cost %,,,,,98%,,,88%,96%,87%,85%,106%,88%
  └─ Employee Cost %,,,,,9%,,,0%,0%,1%,1%,1%,1%
Operating Profit,-0.07,-0.30,-0.61,-1.26,-0.90,-1.07,-3.51,7.82,-40.55,23.81,1.28,-16.15,4.22
OPM %,,,,,-12.69%,,,9.18%,-18.93%,11.71%,0.59%,-8.41%,1.61%
Other Income,0.00,-0.04,0.00,0.00,0.00,0.10,0.00,6.27,61.44,0.01,0.00,8.76,0.37
  └─ Exceptional items,0.00,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,0.00,0.00,0.00,0.00,0.00,0.10,0.00,6.27,61.44,0.01,0.00,8.76,0.37
Interest,0.02,0.00,0.00,0.00,0.01,1.25,2.88,2.93,1.64,0.45,0.52,0.48,0.50
Depreciation,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.08,0.19,0.19,0.19,0.20
Profit before tax,-0.09,-0.34,-0.61,-1.26,-0.91,-2.23,-6.41,11.14,19.17,23.18,0.57,-8.06,3.89
Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,-13.90%,-11.23%,9.34%,-0.37%,13.37%,-3043.86%,-15.88%,24.16%
Net Profit,-0.09,-0.34,-0.61,-1.26,-0.91,-1.92,-5.69,10.09,19.25,20.08,17.92,-6.78,2.95
  └─ Exceptional items AT,0,-0,0,0,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,-0,-0,-1,-1,-1,-2,-6,10,19,20,18,-7,3
  └─ Profit for PE,-0,-0,-1,-1,-1,-2,-6,10,19,20,18,-7,3
  └─ Profit for EPS,-0,-0,-1,-1,-1,-2,-6,10,19,20,18,-7,3
  └─ YOY Profit Growth %,,,,,-911%,-540%,-833%,901%,2215%,1146%,415%,-167%,-85%
EPS in Rs,-0.09,-0.34,-0.62,-1.27,-0.92,-1.94,-5.75,9.61,1.97,2.05,1.83,-0.69,0.30
Raw PDF,,,,,,,,,,,,,
