Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,15,14,21,14,16,19,21,19,19,19,20,19,20
  └─ YOY Sales Growth %,65.66%,19.03%,81.20%,11.96%,5.48%,34.19%,-2.65%,33.98%,15.82%,0.46%,-5.16%,-0.67%,4.70%
Expenses,14,11,12,12,16,15,16,18,17,16,19,19,29
  └─ Material Cost %,63%,53%,36%,47%,51%,51%,48%,51%,54%,52%,63%,61%,64%
  └─ Employee Cost %,15%,17%,7%,14%,17%,16%,12%,13%,11%,13%,13%,18%,17%
Operating Profit,1,3,10,2,0,5,5,1,2,3,0,0,-9
OPM %,7%,21%,46%,13%,3%,24%,23%,5%,9%,17%,2%,2%,-46%
Other Income,9,0,0,0,4,9,0,0,-17,0,0,1,0
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-66.14,0.00,0.00,0.00,0.00
  └─ Other income normal,8.53,0.15,0.47,0.19,3.99,9.43,0.11,0.20,48.87,0.44,0.23,0.64,0.46
Interest,0,0,0,0,0,0,0,0,1,0,0,0,0
Depreciation,0,0,0,1,1,1,1,1,1,1,1,1,1
Profit before tax,9,3,10,1,4,13,4,0,-18,3,-0,0,-10
Tax %,83%,-0%,-0%,-0%,92%,-0%,-0%,-0%,0%,-0%,-0%,-0%,17%
Net Profit,1,3,10,1,0,13,4,0,-18,3,-0,0,-11
  └─ Exceptional items AT,-0,-0,-0,-0,-0,-0,-0,-0,-65,-0,-0,-0,-0
  └─ Profit excl Excep,1,3,10,1,0,13,4,0,47,3,-0,0,-11
  └─ Profit for PE,1,3,10,1,0,13,4,0,47,3,-0,0,-11
  └─ Profit for EPS,1,3,10,1,0,13,4,0,-18,3,-0,0,-11
  └─ YOY Profit Growth %,-86%,112%,472%,121%,-79%,425%,-58%,-79%,15200%,-80%,-105%,-45%,-124%
EPS in Rs,0.30,0.52,2.00,0.30,0.06,2.73,0.83,0.06,-3.61,0.56,-0.04,0.03,-2.30
Raw PDF,,,,,,,,,,,,,
