Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,389,395,410,436,453,459,483,493,502,510,534,543,600
  └─ YOY Sales Growth %,14.75%,14.15%,14.21%,17.05%,16.43%,16.10%,17.81%,13.19%,10.86%,11.17%,10.54%,10.10%,19.45%
Expenses,265,269,273,293,308,307,318,331,334,332,345,353,396
  └─ Material Cost %,45.36%,44.69%,40.02%,43.65%,43.40%,40.41%,39.09%,39.63%,40.04%,38.27%,39.38%,39.64%,40.82%
  └─ Employee Cost %,9.25%,8.87%,8.55%,8.42%,8.11%,8.75%,9.17%,9.49%,9.59%,8.46%,8.84%,9.58%,8.77%
Operating Profit,124,127,137,142,145,152,165,162,168,178,189,190,204
OPM %,32%,32%,34%,33%,32%,33%,34%,33%,33%,35%,35%,35%,34%
Other Income,11,12,21,17,17,19,21,31,26,23,30,34,28
  └─ Other income normal,11.48,12.12,20.54,17.20,17.35,18.58,20.77,31.36,25.82,23.17,30.39,33.68,28.36
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,11,11,12,14,16,16,17,16,17,16,18,19,19
Profit before tax,124,127,146,145,146,154,168,177,177,184,201,204,213
Tax %,18%,18%,20%,18%,17%,19%,22%,21%,18%,18%,20%,19%,19%
Net Profit,101,104,116,120,121,125,131,140,145,151,160,166,173
  └─ Minority share,1,-1,-1,-3,0,-1,-0,-1,-3,2,-6,-2,-3
  └─ Profit excl Excep,101,104,116,120,121,125,131,140,145,151,160,166,173
  └─ Profit for PE,102,103,115,117,122,124,131,139,143,153,154,164,170
  └─ Profit for EPS,102,103,115,117,122,124,131,139,143,153,154,164,170
  └─ YOY Profit Growth %,29%,22%,25%,20%,19%,20%,14%,19%,17%,23%,18%,18%,19%
EPS in Rs,13.45,13.62,15.13,15.43,16.01,16.31,17.21,18.28,18.76,20.10,20.32,21.56,22.38
Raw PDF,,,,,,,,,,,,,
