Metric,Sep 2023,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,97,106,94,120,87
Expenses,91,98,86,112,77
  └─ Material Cost %,73%,74%,66%,75%,70%
  └─ Employee Cost %,6%,5%,8%,6%,7%
Operating Profit,6,8,8,8,10
OPM %,7%,8%,9%,7%,11%
Other Income,1,0,1,1,1
  └─ Exceptional items,0.00,0.00,0.00,0.30,-0.23
  └─ Other income normal,0.91,0.04,0.91,0.74,1.02
Interest,1,2,2,3,3
Depreciation,2,2,2,2,3
Profit before tax,4,4,4,4,5
Tax %,20%,27%,29%,29%,30%
Net Profit,3,3,3,3,4
  └─ Minority share,0.00,0.36,-0.06,0.26,-0.12
  └─ Exceptional items AT,0.00,0.00,0.00,0.20,-0.15
  └─ Profit excl Excep,3.36,2.77,2.82,2.60,3.85
  └─ Profit for PE,3.36,3.13,2.76,2.86,3.73
  └─ Profit for EPS,3.36,3.13,2.76,3.06,3.58
EPS in Rs,1.96,1.83,1.61,1.79,2.09
Raw PDF,,,,,
