Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,60.58,79.47,68.26,71.07,69.63,76.89,86.65,86.49,97.79,90.51,98.45,97.48,100.56
  └─ YOY Sales Growth %,-38.19%,-13.92%,-5.72%,9.57%,14.94%,-3.25%,26.94%,21.70%,40.44%,17.71%,13.62%,12.71%,2.83%
Expenses,53.78,72.89,60.84,67.07,60.89,70.02,78.79,77.04,86.41,79.49,85.45,85.39,88.66
  └─ Material Cost %,51%,64%,50%,59%,48%,53%,50%,51%,57%,54%,53%,52%,51%
  └─ Employee Cost %,19%,15%,19%,18%,20%,18%,17%,17%,16%,16%,17%,17%,18%
Operating Profit,6.80,6.58,7.42,4.00,8.74,6.87,7.86,9.45,11.38,11.02,13.00,12.09,11.90
OPM %,11.22%,8.28%,10.87%,5.63%,12.55%,8.93%,9.07%,10.93%,11.64%,12.18%,13.20%,12.40%,11.83%
Other Income,0.14,0.27,0.56,0.24,2.27,0.85,0.80,0.13,2.25,0.71,0.36,0.15,1.41
  └─ Other income normal,0.14,0.27,0.56,0.24,2.27,0.85,0.80,0.13,2.25,0.71,0.36,0.15,1.41
Interest,1.69,1.63,2.05,1.65,3.08,2.33,2.10,2.74,2.20,2.44,2.10,2.16,2.43
Depreciation,2.56,2.63,2.71,2.79,2.81,3.00,2.67,2.64,0.52,2.72,2.67,2.73,2.75
Profit before tax,2.69,2.59,3.22,-0.20,5.12,2.39,3.89,4.20,10.91,6.57,8.59,7.35,8.13
Tax %,11.52%,1.93%,27.02%,30.00%,37.11%,19.25%,7.71%,16.19%,26.12%,15.53%,1.98%,18.37%,22.02%
Net Profit,2.39,2.54,2.35,-0.25,3.22,1.93,3.60,3.52,8.07,5.55,8.42,6.00,6.34
  └─ Profit excl Excep,2.39,2.54,2.35,-0.25,3.22,1.93,3.60,3.52,8.07,5.55,8.42,6.00,6.34
  └─ Profit for PE,2.39,2.54,2.35,-0.25,3.22,1.93,3.60,3.52,8.07,5.55,8.42,6.00,6.34
  └─ Profit for EPS,2.39,2.54,2.35,-0.25,3.22,1.93,3.60,3.52,8.07,5.55,8.42,6.00,6.34
  └─ YOY Profit Growth %,-60.82%,-37.75%,2250.00%,-116.45%,34.73%,-24.02%,53.19%,1508.00%,150.62%,187.56%,133.89%,70.45%,-21.44%
EPS in Rs,0.60,0.64,0.59,-0.06,0.81,0.48,0.90,0.88,2.02,1.39,2.11,1.50,1.57
Raw PDF,,,,,,,,,,,,,
