Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,283,273,277,273,258,248,249,261,248,241,241,251,241
  └─ YOY Sales Growth %,-6.77%,-3.59%,-3.72%,-1.43%,-8.80%,-9.39%,-9.95%,-4.48%,-3.84%,-2.53%,-3.07%,-3.72%,-3.04%
Expenses,249,244,235,233,218,221,221,233,220,222,223,238,225
  └─ Employee Cost %,7.31%,7.75%,7.23%,6.79%,7.75%,7.60%,8.35%,7.77%,8.02%,8.01%,7.18%,6.83%,6.42%
Operating Profit,34,29,42,40,40,27,28,27,28,19,18,13,15
OPM %,12%,11%,15%,15%,16%,11%,11%,10%,11%,8%,7%,5%,6%
Other Income,27,50,52,51,57,55,69,55,67,71,52,58,55
  └─ Other income normal,27,50,52,51,57,55,69,55,67,71,52,58,55
Interest,1,1,1,1,1,1,1,1,0,1,0,0,0
Depreciation,29,28,29,28,28,26,27,26,26,24,23,23,21
Profit before tax,31,50,64,62,69,55,69,55,69,65,46,48,49
Tax %,-304%,15%,29%,23%,-12%,22%,25%,24%,13%,17%,24%,16%,26%
Net Profit,126,42,46,48,77,43,52,42,60,54,35,40,36
  └─ Minority share,7.30,0.34,0.08,-0.57,2.01,2.23,0.40,-1.62,2.32,0.58,-0.01,-2.39,1.97
  └─ Profit excl Excep,126.20,42.28,45.60,47.85,77.05,43.29,51.65,41.93,59.86,53.64,35.17,40.38,36.43
  └─ Profit for PE,133.50,42.62,45.68,47.28,79.06,45.52,52.05,40.31,62.18,54.22,35.16,37.99,38.40
  └─ Profit for EPS,133.50,42.62,45.68,47.28,79.06,45.52,52.05,40.31,62.18,54.22,35.16,37.99,38.40
  └─ YOY Profit Growth %,167.16%,232.19%,-3.85%,-3.55%,-40.78%,6.80%,13.94%,-14.74%,-21.35%,19.11%,-32.45%,-5.76%,-38.24%
EPS in Rs,2.80,0.89,0.96,0.99,1.66,0.95,1.09,0.84,1.30,1.14,0.74,0.80,0.80
Raw PDF,,,,,,,,,,,,,
