Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,76,91,80,61,96,96,87,99,108,102,104,129,91
  └─ YOY Sales Growth %,5.16%,41.28%,17.14%,15.69%,26.35%,5.78%,7.82%,62.75%,12.41%,6.30%,19.55%,29.47%,-16.17%
Expenses,64,72,69,56,81,79,75,87,90,87,89,107,75
  └─ Material Cost %,60%,57%,62%,55%,62%,58%,60%,62%,58%,57%,60%,60%,57%
  └─ Employee Cost %,13%,12%,13%,18%,13%,12%,13%,12%,10%,12%,11%,10%,11%
Operating Profit,12,19,11,5,16,17,12,12,18,15,14,22,16
OPM %,16%,20%,14%,8%,16%,18%,14%,12%,17%,15%,14%,17%,17%
Other Income,3,4,1,4,4,5,6,3,1,4,3,-0,3
  └─ Exceptional items,0.00,0.00,-2.55,0.00,0.00,0.00,0.00,-1.26,-4.19,0.00,0.00,-3.51,0.00
  └─ Other income normal,3.19,3.85,3.79,4.20,3.75,4.55,6.18,3.88,4.87,3.88,3.42,3.49,3.28
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,1,1,1,1,1,1,1,1,1,1,1,1,1
Profit before tax,14,21,11,8,18,21,17,13,18,18,16,20,18
Tax %,26%,25%,25%,26%,26%,26%,26%,26%,29%,26%,26%,26%,27%
Net Profit,10,16,8,6,13,15,12,10,13,13,12,15,13
  └─ Exceptional items AT,0.00,0.00,-1.76,0.00,0.00,0.00,0.00,-0.91,-2.94,0.00,0.00,-2.47,0.00
  └─ Profit excl Excep,10.33,15.66,10.07,5.75,13.16,15.19,12.49,10.93,15.66,13.04,12.20,17.67,13.18
  └─ Profit for PE,10.33,15.66,10.07,5.75,13.16,15.19,12.49,10.93,15.66,13.04,12.20,17.67,13.18
  └─ Profit for EPS,10.33,15.66,8.31,5.75,13.16,15.19,12.49,10.02,12.72,13.04,12.20,15.20,13.18
  └─ YOY Profit Growth %,-20.23%,111.05%,4.03%,145.73%,27.40%,-3.00%,24.03%,90.09%,19.00%,-14.15%,-2.32%,61.67%,-15.84%
EPS in Rs,71.04,107.69,57.14,39.54,90.50,104.46,85.89,68.90,87.47,89.67,83.89,104.52,90.63
Raw PDF,,,,,,,,,,,,,
