Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,311,300,308,294,334,346,337,331,370,350,377,395,444
  └─ YOY Sales Growth %,14.55%,1.36%,4.93%,5.04%,7.24%,15.40%,9.33%,12.71%,10.75%,1.26%,11.79%,19.25%,20.00%
Expenses,284,273,278,265,303,318,304,298,337,321,344,361,409
  └─ Material Cost %,84%,84%,83%,83%,84%,86%,84%,83%,84%,85%,85%,84%,86%
  └─ Employee Cost %,4%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,4%,3%
Operating Profit,27,27,30,29,31,28,33,33,32,29,33,35,35
OPM %,9%,9%,10%,10%,9%,8%,10%,10%,9%,8%,9%,9%,8%
Other Income,3,3,3,4,4,5,4,4,6,5,4,4,4
  └─ Other income normal,2.80,2.97,3.23,3.56,4.37,5.45,4.45,4.04,6.42,5.46,3.61,3.64,3.92
Interest,1,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,1,1,2,2,2,2,2,2,2,2,2,2,2
Profit before tax,28,28,32,31,34,32,35,36,37,33,34,36,37
Tax %,27%,25%,26%,26%,25%,26%,24%,25%,26%,26%,26%,26%,25%
Net Profit,20,21,24,23,25,24,27,26,27,24,25,27,28
  └─ Profit excl Excep,20.20,20.96,23.62,22.95,25.10,23.61,26.72,26.50,27.43,24.38,25.38,26.69,27.61
  └─ Profit for PE,20.20,20.96,23.62,22.95,25.10,23.61,26.72,26.50,27.43,24.38,25.38,26.69,27.61
  └─ Profit for EPS,20.20,20.96,23.62,22.95,25.10,23.61,26.72,26.50,27.43,24.38,25.38,26.69,27.61
  └─ YOY Profit Growth %,72.50%,29.46%,4.05%,-15.87%,24.26%,12.64%,13.12%,15.47%,9.28%,3.26%,-5.01%,0.72%,0.66%
EPS in Rs,5.69,5.90,6.65,6.46,7.07,6.65,7.53,7.46,7.73,6.87,7.15,7.52,7.78
Raw PDF,,,,,,,,,,,,,
