Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,59,104,135,68,121,63,159
  └─ YOY Sales Growth %,,,,,106.81%,-39.84%,17.54%
Expenses,54,81,116,74,91,74,136
  └─ Material Cost %,58%,51%,57%,63%,46%,65%,65%
  └─ Employee Cost %,17%,8%,7%,15%,7%,18%,8%
Operating Profit,5,23,18,-6,30,-12,22
OPM %,8%,22%,14%,-9%,25%,-18%,14%
Other Income,2,2,3,3,3,7,10
  └─ Exceptional items,0.00,0.00,0.00,1.77,0.00,0.00,0.00
  └─ Other income normal,2.36,1.75,3.29,0.98,3.18,7.10,9.85
Interest,0,0,1,1,1,1,1
Depreciation,1,1,1,1,1,1,1
Profit before tax,6,24,20,-6,31,-7,30
Tax %,15%,13%,24%,-1%,10%,-15%,26%
Net Profit,5,20,15,-6,28,-6,22
  └─ Exceptional items AT,0.00,0.00,0.00,1.59,0.00,0.00,0.00
  └─ Profit excl Excep,5.12,20.46,15.09,-7.72,28.11,-5.68,22.06
  └─ Profit for PE,5.12,20.46,15.09,-7.72,28.11,-5.68,22.06
  └─ Profit for EPS,5.12,20.46,15.09,-6.13,28.11,-5.68,22.06
  └─ YOY Profit Growth %,,,,,449.02%,-127.76%,46.19%
EPS in Rs,1.58,6.32,4.66,-1.89,8.68,-1.28,4.96
Raw PDF,,,,,,,
