Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,3929,3782,3845,3929,4134,4450,3782,4153,4102,3871,3780,3658,5792
  └─ YOY Sales Growth %,-15.87%,-26.86%,-3.30%,6.64%,5.23%,17.69%,-1.66%,5.70%,-0.78%,-13.02%,-0.04%,-11.91%,41.20%
Expenses,3368,3394,3349,3528,3543,3915,3268,3772,3652,3351,3333,3211,5183
  └─ Material Cost %,78%,82%,79%,82%,77%,81%,78%,83%,79%,78%,79%,78%,80%
  └─ Employee Cost %,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,2%
Operating Profit,560,388,497,401,591,536,514,380,450,520,447,447,609
OPM %,14%,10%,13%,10%,14%,12%,14%,9%,11%,13%,12%,12%,11%
Other Income,33,25,28,24,88,39,40,58,75,60,72,56,34
  └─ Exceptional items,0,0,0,0,56,0,0,0,0,0,0,0,-147
  └─ Other income normal,33,25,28,24,32,39,40,58,75,60,72,56,180
Interest,6,7,8,7,7,8,8,9,7,8,8,9,46
Depreciation,109,115,118,120,121,123,130,129,129,131,134,135,224
Profit before tax,478,290,399,297,551,444,417,300,389,441,377,359,374
Tax %,22%,26%,26%,26%,25%,26%,26%,26%,26%,26%,26%,26%,59%
Net Profit,370,216,296,221,410,331,309,221,288,328,280,267,152
  └─ Exceptional items AT,0,0,0,0,42,0,0,0,0,0,0,0,-58
  └─ Profit excl Excep,370,216,296,221,369,331,309,221,288,328,280,267,210
  └─ Profit for PE,370,216,296,221,369,331,309,221,288,328,280,267,210
  └─ Profit for EPS,370,216,296,221,410,331,309,221,288,328,280,267,152
  └─ YOY Profit Growth %,-18%,-43%,-27%,-41%,-0%,53%,4%,-0%,-22%,-1%,-9%,21%,-27%
EPS in Rs,5.38,3.14,4.30,3.21,5.96,4.80,4.48,3.21,4.18,4.76,4.06,3.88,2.21
Raw PDF,,,,,,,,,,,,,
