Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,4859,4834,3900,4414,5442,5806,4539,4889,6544,5455,4779,5588,6705
  └─ YOY Sales Growth %,9.78%,13.88%,6.00%,6.94%,11.99%,20.12%,16.38%,10.76%,20.24%,-6.04%,5.29%,14.30%,2.47%
Expenses,4332,4432,3527,3981,4807,5234,4164,4462,5787,4940,4341,5072,5976
  └─ Material Cost %,70%,70%,67%,67%,67%,68%,66%,66%,68%,67%,65%,67%,69%
  └─ Employee Cost %,7%,7%,10%,9%,8%,8%,10%,10%,7%,9%,10%,9%,8%
Operating Profit,527,402,373,433,635,572,375,426,757,516,438,516,729
OPM %,11%,8%,10%,10%,12%,10%,8%,9%,12%,9%,9%,9%,11%
Other Income,47,65,52,56,76,77,93,64,69,69,91,9,310
  └─ Exceptional items,0,0,0,0,0,0,0,0,0,0,0,-45,0
  └─ Other income normal,47,65,52,56,76,77,93,64,69,69,91,54,310
Interest,10,8,9,10,18,9,10,9,15,9,9,9,10
Depreciation,77,76,81,88,93,92,95,104,110,106,106,109,112
Profit before tax,487,382,335,391,599,549,363,377,701,470,415,408,918
Tax %,26%,25%,26%,26%,25%,26%,26%,26%,26%,26%,23%,26%,21%
Net Profit,358,287,249,288,447,408,268,278,517,348,318,300,723
  └─ Minority share,0,0,0,0,0,0,0,0,1,0,1,1,-0
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,0,-33,0
  └─ Profit excl Excep,358,287,249,288,447,408,268,278,517,348,318,333,723
  └─ Profit for PE,358,287,249,288,447,408,268,278,518,348,319,334,723
  └─ Profit for EPS,358,287,249,288,447,408,268,278,518,348,319,301,723
  └─ YOY Profit Growth %,2%,18%,33%,2%,25%,42%,8%,-3%,16%,-15%,19%,20%,40%
EPS in Rs,5.71,4.58,3.97,4.59,7.13,6.51,4.28,4.44,8.26,5.55,5.09,4.80,11.53
Raw PDF,,,,,,,,,,,,,
