Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue,47548,51168,75039,78008,79434,81546,83002,85040,86779,87372,86994,87067,87182
  └─ YOY Sales Growth %,33.66%,37.28%,83.34%,73.34%,67.06%,59.37%,10.61%,9.01%,9.25%,7.14%,4.81%,2.38%,0.46%
Interest,22606,25955,41250,43242,43692,44580,45414,46914,46986,47709,46741,45821,45220
Expenses,17770,18470,45349,50530,62938,49690,52074,41307,47709,64497,45161,54145,44028
  └─ Employee Cost %,11.57%,11.63%,10.38%,10.08%,11.86%,10.16%,10.26%,10.02%,10.15%,10.18%,10.71%,11.83%,10.43%
Financing Profit,7172,6744,-11560,-15764,-27196,-12723,-14487,-3181,-7916,-24833,-4908,-12899,-2066
Financing Margin %,15%,13%,-15%,-20%,-34%,-16%,-17%,-4%,-9%,-28%,-6%,-15%,-2%
Other Income,9610,9853,32528,37007,44958,35450,38455,27154,33489,45683,31567,39860,29737
  └─ Other income normal,9610,9853,32528,37007,44958,35450,38455,27154,33489,45683,31567,39860,29737
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,16783,16597,20967,21243,17761,22727,23968,23973,25573,20850,26659,26961,27672
Tax %,25%,25%,17%,17%,-1%,24%,22%,24%,25%,18%,24%,23%,24%
Net Profit,12634,12403,17312,17718,18013,17188,18627,18340,19285,17090,20364,20691,21074
  └─ Minority share,-40,-33,-501,-460,-390,-713,-802,-684,-450,-833,-753,-884,-723
  └─ Profit excl Excep,12634,12403,17312,17718,18013,17188,18627,18340,19285,17090,20364,20691,21074
  └─ Profit for PE,12594,12370,16811,17258,17622,16475,17826,17657,18835,16258,19611,19807,20351
  └─ Profit for EPS,12594,12370,16811,17258,17622,16475,17826,17657,18835,16258,19611,19807,20351
  └─ YOY Profit Growth %,21%,29%,51%,36%,40%,33%,6%,2%,7%,-1%,10%,12%,8%
EPS in Rs,11.29,11.06,11.09,11.37,11.60,10.83,11.68,11.54,12.31,10.60,12.76,12.87,13.22
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
