Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,702,642,746,630,681,867,706,761,734,791,859,1070,1480
  └─ YOY Sales Growth %,18%,24%,25%,11%,-3%,35%,-5%,21%,8%,-9%,22%,41%,102%
Expenses,668,621,719,599,646,824,664,721,699,750,814,1028,1434
  └─ Material Cost %,90%,93%,92%,90%,89%,91%,89%,90%,92%,91%,91%,93%,95%
  └─ Employee Cost %,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
Operating Profit,34,21,27,32,35,43,42,40,35,41,44,42,46
OPM %,5%,3%,4%,5%,5%,5%,6%,5%,5%,5%,5%,4%,3%
Other Income,0,0,1,0,-0,1,1,0,0,1,1,0,0
  └─ Other income normal,0.30,0.28,0.73,0.44,-0.27,0.53,0.97,0.38,0.01,0.93,1.15,0.25,0.25
Interest,8,8,10,9,14,14,14,9,7,8,12,12,16
Depreciation,5,3,3,4,6,5,5,6,4,6,7,7,8
Profit before tax,21,11,14,19,15,24,24,26,24,28,27,23,23
Tax %,23%,26%,25%,25%,25%,25%,26%,25%,27%,25%,25%,25%,24%
Net Profit,16,8,11,14,11,18,18,19,18,21,20,17,18
  └─ Profit excl Excep,15.84,8.02,10.53,14.33,11.13,18.05,18.11,19.15,17.63,20.92,20.26,17.39,17.60
  └─ Profit for PE,15.84,8.02,10.53,14.33,11.13,18.05,18.11,19.15,17.63,20.92,20.26,17.39,17.60
  └─ Profit for EPS,15.84,8.02,10.53,14.33,11.13,18.05,18.11,19.15,17.63,20.92,20.26,17.39,17.60
  └─ YOY Profit Growth %,41.18%,79.02%,11.55%,10.06%,-29.73%,125.06%,71.98%,33.64%,58.40%,15.90%,11.87%,-9.19%,-0.17%
EPS in Rs,1.24,0.61,0.80,1.05,0.74,1.14,1.03,0.94,0.87,1.03,1.00,0.86,0.87
Raw PDF,,,,,,,,,,,,,
