Metric,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022
Sales,5.92,9.38,18.69,7.73,6.08,7.08,11.35,4.41,2.44,7.17,12.43,10.03,2.03
  └─ YOY Sales Growth %,,67.50%,3.95%,48.94%,2.70%,-24.52%,-39.27%,-42.95%,-59.87%,1.27%,9.52%,127.44%,-16.80%
Expenses,6.31,6.56,11.83,6.28,4.22,6.85,9.03,5.42,5.26,6.42,9.30,4.91,2.78
  └─ Material Cost %,1.35%,1.17%,0.32%,0.78%,0.49%,0.42%,0.00%,0.00%,5.74%,0.00%,0.00%,0.00%,0.00%
  └─ Employee Cost %,20.61%,12.26%,6.15%,11.77%,14.64%,12.57%,6.96%,18.14%,30.33%,11.44%,5.63%,8.87%,46.31%
Operating Profit,-0.39,2.82,6.86,1.45,1.86,0.23,2.32,-1.01,-2.82,0.75,3.13,5.12,-0.75
OPM %,-6.59%,30.06%,36.70%,18.76%,30.59%,3.25%,20.44%,-22.90%,-115.57%,10.46%,25.18%,51.05%,-36.95%
Other Income,0.16,0.20,0.38,0.30,0.29,0.07,0.14,0.19,0.11,0.16,0.17,0.10,0.52
  └─ Other income normal,0.16,0.20,0.38,0.30,0.29,0.07,0.14,0.19,0.11,0.16,0.17,0.10,0.52
Interest,1.73,2.01,1.96,1.84,1.57,1.75,1.74,1.70,2.00,1.41,1.39,1.31,0.74
Depreciation,1.59,1.65,1.66,1.66,1.65,1.58,1.59,1.59,1.56,1.57,1.58,1.58,1.37
Profit before tax,-3.55,-0.64,3.62,-1.75,-1.07,-3.03,-0.87,-4.11,-6.27,-2.07,0.33,2.33,-2.34
Tax %,31.83%,-14.06%,16.02%,-20.57%,-12.15%,-6.93%,-32.18%,-27.98%,10.53%,-13.04%,-81.82%,2.15%,15.38%
Net Profit,-4.69,-0.55,3.04,-1.39,-0.94,-2.81,-0.60,-2.96,-6.92,-1.80,0.60,2.28,-2.70
  └─ Minority share,1,-0,-0,-0,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,-5,-1,3,-1,-1,-3,-1,-3,-7,-2,1,2,-3
  └─ Profit for PE,-3,-1,3,-2,-1,-3,-1,-3,-7,-2,1,2,-3
  └─ Profit for EPS,-3,-1,3,-2,-1,-3,-1,-3,-7,-2,1,2,-3
  └─ YOY Profit Growth %,,68%,33%,81%,73%,-361%,-121%,-91%,-636%,36%,200%,177%,61%
EPS in Rs,-2.96,-0.53,2.44,-1.34,-0.81,-2.43,-0.52,-2.56,-5.98,-1.56,0.52,1.97,-2.33
Raw PDF,,,,,,,,,,,,,
