Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1055,999,60,66,70,67,59,65,67,61,55,65,67
  └─ YOY Sales Growth %,2.29%,12.08%,-92.91%,-93.27%,-93.37%,-93.26%,-1.99%,-1.39%,-3.80%,-9.26%,-6.03%,-1.08%,-0.98%
Expenses,947,894,76,75,81,76,70,72,93,72,74,81,79
  └─ Material Cost %,11%,11%,46%,43%,40%,43%,40%,44%,57%,53%,60%,58%,60%
  └─ Employee Cost %,5%,5%,29%,28%,33%,29%,31%,28%,23%,29%,32%,30%,26%
Operating Profit,108,105,-16,-9,-11,-8,-11,-6,-26,-11,-18,-16,-13
OPM %,10%,10%,-27%,-13%,-15%,-12%,-19%,-9%,-38%,-17%,-34%,-25%,-19%
Other Income,15,7,-29,-27,-214,-14,-45,-50,5805,-78,4,34,54
  └─ Exceptional items,0.00,0.00,-31.78,-35.56,-228.44,-15.50,-45.97,-50.83,5787.93,-89.81,0.00,0.00,48.09
  └─ Other income normal,15.39,7.17,3.01,8.34,14.86,1.61,0.96,0.94,17.08,12.31,4.03,34.03,6.12
Interest,123,116,7,7,6,7,7,7,6,6,6,7,5
Depreciation,26,31,6,6,6,6,6,6,14,5,5,5,5
Profit before tax,-25,-35,-59,-49,-236,-35,-70,-69,5759,-99,-26,6,31
Tax %,4%,-8%,0%,0%,2%,75%,0%,-0%,-0%,-0%,0%,0%,0%
Net Profit,-26,-32,-59,-49,-241,-61,-70,-69,5766,-99,-26,6,31
  └─ Exceptional items AT,0.00,0.00,-31.78,-35.56,-228.44,-15.50,-45.97,-50.83,5787.93,-89.81,0.00,0.00,48.09
  └─ Profit excl Excep,-26.13,-32.44,-26.94,-13.62,-12.23,-45.87,-23.95,-18.34,-22.31,-9.53,-25.87,6.02,-17.02
  └─ Profit for PE,-26.13,-32.44,-26.94,-13.62,-12.23,-45.87,-23.95,-18.34,-22.31,-9.53,-25.87,6.02,-17.02
  └─ Profit for EPS,-26.13,-32.44,-58.72,-49.18,-240.67,-61.37,-69.92,-69.17,5765.62,-99.34,-25.87,6.02,31.07
  └─ YOY Profit Growth %,-9.84%,47.04%,54.38%,-110.89%,53.20%,-41.40%,11.10%,-34.65%,-82.42%,79.22%,-8.02%,132.82%,23.71%
EPS in Rs,-0.84,-1.04,-1.89,-1.58,-7.75,-1.98,-2.25,-2.23,185.57,-3.20,-0.83,0.19,1.00
Raw PDF,,,,,,,,,,,,,
