Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue,21,27,11,30,24,28,41,31,12,27,33,35,11
  └─ YOY Sales Growth %,-45.94%,868.79%,-52.06%,41.11%,15.56%,3.81%,286.94%,3.70%,-49.33%,-3.91%,-19.72%,12.57%,-11.09%
Interest,2,3,3,2,2,2,3,4,6,6,7,8,9
Expenses,19,4,3,8,24,4,4,18,19,9,20,24,15
  └─ Material Cost %,50.02%,1.50%,-0.09%,0.03%,54.53%,-0.04%,0.00%,37.38%,74.25%,12.55%,26.49%,43.16%,0.19%
  └─ Employee Cost %,8.63%,5.20%,13.06%,6.33%,7.55%,5.50%,3.86%,6.11%,12.33%,5.43%,5.35%,6.22%,21.32%
Financing Profit,-0,21,5,20,-2,22,35,9,-13,12,6,3,-13
Financing Margin %,-1%,75%,44%,65%,-9%,78%,83%,30%,-109%,44%,17%,8%,-122%
Other Income,0,8,5,0,10,16,5,4,0,6,0,0,0
  └─ Other income normal,0.15,8.09,5.16,0.11,9.96,15.61,4.68,4.46,0.06,5.89,0.10,0.08,0.03
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,-0,29,10,20,8,38,39,14,-13,18,6,3,-13
Tax %,837%,14%,15%,32%,3%,11%,21%,43%,-1%,9%,101%,188%,-21%
Net Profit,-2,25,8,13,7,33,31,8,-13,16,-0,-3,-10
  └─ Minority share,0.06,0.05,0.06,0.15,0.29,0.15,0.44,0.25,0.24,0.17,0.10,0.09,0.12
  └─ Profit excl Excep,-1.79,24.68,8.36,13.35,7.49,33.44,30.82,7.83,-12.99,16.22,-0.03,-2.54,-10.46
  └─ Profit for PE,-1.73,24.73,8.42,13.50,7.78,33.59,31.26,8.08,-12.75,16.39,0.07,-2.45,-10.34
  └─ Profit for EPS,-1.73,24.73,8.42,13.50,7.78,33.59,31.26,8.08,-12.75,16.39,0.07,-2.45,-10.34
  └─ YOY Profit Growth %,-108.45%,792.78%,-49.97%,-35.62%,549.71%,35.83%,271.26%,-40.15%,-263.88%,-51.21%,-99.78%,-130.32%,18.90%
EPS in Rs,-0.63,9.06,3.09,4.95,2.85,12.31,11.46,2.96,-4.67,6.01,0.03,-0.90,-3.79
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
