Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1574,1508,1578,1554,1729,1559,1688,1614,1748,1705,1782,1624,1827
  └─ YOY Sales Growth %,51.75%,0.79%,-11.64%,-3.28%,9.81%,3.36%,6.95%,3.86%,1.11%,9.40%,5.58%,0.64%,4.55%
Expenses,1352,1300,1315,1325,1488,1380,1476,1441,1542,1487,1548,1440,1612
  └─ Material Cost %,54%,55%,52%,55%,57%,56%,55%,55%,59%,58%,54%,55%,57%
  └─ Employee Cost %,6%,5%,6%,6%,5%,6%,6%,6%,4%,5%,6%,6%,6%
Operating Profit,222,209,263,228,240,179,212,172,206,219,233,184,216
OPM %,14%,14%,17%,15%,14%,11%,13%,11%,12%,13%,13%,11%,12%
Other Income,17,10,-25,14,-19,12,19,12,39,14,13,-11,47
  └─ Exceptional items,-0.10,0.07,-36.10,-0.39,-26.85,-0.11,0.69,-0.07,12.38,2.62,4.42,-19.24,-0.41
  └─ Other income normal,17.30,10.01,10.84,14.57,7.84,12.53,18.06,12.41,26.62,10.93,8.12,7.90,47.49
Interest,26,30,30,30,32,34,37,39,36,34,33,29,30
Depreciation,49,47,58,64,73,61,64,66,67,65,68,68,70
Profit before tax,164,142,150,148,116,96,130,79,142,133,145,75,162
Tax %,43%,34%,39%,29%,39%,31%,29%,33%,32%,28%,32%,34%,32%
Net Profit,93,94,91,105,71,66,92,53,97,95,98,49,110
  └─ Minority share,-49,-53,-46,-54,-10,-38,-42,-29,-50,-52,-47,-29,-67
  └─ Exceptional items AT,-0,0,-22,-0,-16,-0,1,-0,9,2,3,-13,-0
  └─ Profit excl Excep,93,94,113,105,86,66,91,53,89,94,95,62,111
  └─ Profit for PE,44,41,56,51,75,29,49,24,43,43,50,26,43
  └─ Profit for EPS,44,41,46,51,61,29,50,24,47,44,52,20,43
  └─ YOY Profit Growth %,36498%,-16%,-18%,-20%,70%,-30%,-12%,-53%,-43%,50%,1%,6%,1%
EPS in Rs,44.39,41.13,46.00,51.06,61.67,28.72,47.75,23.09,44.94,42.10,49.17,19.35,41.01
Raw PDF,,,,,,,,,,,,,
