Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,199,178,262,200,219,151,308,255,288,234,354,301,324
  └─ YOY Sales Growth %,17.64%,15.44%,15.97%,0.56%,10.00%,-15.22%,17.43%,27.45%,31.31%,54.55%,14.88%,18.01%,12.38%
Expenses,160,144,201,161,177,124,244,208,236,192,283,238,262
  └─ Material Cost %,45.64%,49.37%,51.59%,49.55%,47.35%,46.51%,47.28%,47.36%,48.01%,47.08%,48.34%,46.82%,49.57%
  └─ Employee Cost %,12.70%,14.55%,9.93%,13.18%,12.26%,16.62%,12.13%,14.36%,12.94%,16.59%,12.68%,14.75%,13.39%
Operating Profit,39,34,62,39,42,28,64,47,52,42,71,63,62
OPM %,20%,19%,24%,19%,19%,18%,21%,18%,18%,18%,20%,21%,19%
Other Income,8,11,8,9,9,11,34,2,3,14,7,3,-0
  └─ Other income normal,7.50,11.15,8.26,9.26,8.59,10.80,34.25,1.57,2.75,13.92,6.79,3.19,-0.03
Interest,2,2,1,1,1,1,3,3,4,4,4,4,3
Depreciation,2,2,3,3,3,3,9,10,10,11,11,11,12
Profit before tax,42,41,66,44,48,35,86,36,41,41,63,51,47
Tax %,26%,18%,25%,25%,21%,28%,22%,27%,26%,22%,25%,26%,27%
Net Profit,31,34,50,33,38,25,68,26,30,32,47,38,35
  └─ Minority share,0.00,0.00,0.00,0.00,0.00,0.00,-2.12,-1.49,-1.11,-0.71,-2.40,-3.75,-3.54
  └─ Profit excl Excep,31.49,33.70,49.66,33.24,37.85,25.21,67.65,26.09,30.24,31.99,47.29,37.91,34.54
  └─ Profit for PE,31.49,33.70,49.66,33.24,37.85,25.21,65.53,24.60,29.13,31.28,44.89,34.16,31.00
  └─ Profit for EPS,31.49,33.70,49.66,33.24,37.85,25.21,65.53,24.60,29.13,31.28,44.89,34.16,31.00
  └─ YOY Profit Growth %,27.28%,56.31%,27.04%,23.57%,20.20%,-25.19%,31.96%,-25.99%,-23.04%,24.08%,-31.50%,38.86%,6.42%
EPS in Rs,5.11,5.47,8.06,5.39,6.14,4.09,10.63,3.99,4.73,5.08,7.28,5.54,5.03
Raw PDF,,,,,,,,,,,,,
