Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,680,510,215,242,297,342,230,242,294,183,149,153,146
  └─ YOY Sales Growth %,157%,45%,-46%,-47%,-56%,-33%,7%,0%,-1%,-46%,-35%,-37%,-50%
Expenses,556,401,151,139,247,258,203,181,187,142,112,121,127
  └─ Material Cost %,53.04%,47.23%,18.19%,-1.31%,29.54%,40.24%,32.67%,11.92%,27.68%,25.01%,25.35%,18.34%,-9.89%
  └─ Employee Cost %,2.92%,3.61%,8.09%,7.78%,8.19%,5.75%,6.59%,6.58%,7.77%,9.89%,11.17%,11.90%,15.05%
Operating Profit,124,109,64,103,50,84,28,61,106,41,37,33,19
OPM %,18%,21%,30%,42%,17%,24%,12%,25%,36%,22%,25%,21%,13%
Other Income,15,16,28,31,42,36,41,33,37,45,46,45,42
  └─ Other income normal,14.97,16.36,27.56,30.69,42.19,35.50,40.53,32.67,36.55,44.81,46.24,45.10,42.49
Interest,14,9,6,7,12,4,3,3,5,3,2,2,3
Depreciation,3,2,2,3,3,2,2,2,2,2,3,4,4
Profit before tax,122,114,83,123,77,113,63,89,136,80,78,72,55
Tax %,25%,23%,21%,30%,16%,25%,25%,5%,28%,27%,23%,28%,25%
Net Profit,92,87,65,87,65,84,47,84,97,58,60,52,41
  └─ Minority share,-9.95,-4.62,4.53,-3.48,0.62,-6.89,-2.71,-0.27,-20.23,-2.75,-4.80,-4.65,1.78
  └─ Profit excl Excep,91.53,87.06,65.12,86.51,64.65,84.39,47.25,84.03,97.16,58.32,60.01,51.62,41.05
  └─ Profit for PE,81.58,82.44,69.65,83.03,65.27,77.50,44.54,83.76,76.93,55.57,55.21,46.97,42.83
  └─ Profit for EPS,81.58,82.44,69.65,83.03,65.27,77.50,44.54,83.76,76.93,55.57,55.21,46.97,42.83
  └─ YOY Profit Growth %,118.36%,111.71%,30.72%,-2.05%,-19.99%,-5.99%,-36.05%,0.88%,17.86%,-28.30%,23.96%,-43.92%,-44.33%
EPS in Rs,2.20,2.22,1.88,2.24,1.76,2.09,1.20,2.23,2.05,1.44,1.37,1.16,1.06
Raw PDF,,,,,,,,,,,,,
