Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,143,101,137,147,237,138,184,194,251,167,222,210,277
  └─ YOY Sales Growth %,52.16%,22.41%,51.97%,15.65%,65.65%,36.99%,34.07%,32.15%,5.76%,20.60%,20.72%,8.48%,10.66%
Expenses,132,91,127,135,217,125,163,182,228,150,196,190,246
  └─ Material Cost %,76%,69%,76%,77%,78%,72%,70%,74%,74%,70%,69%,70%,73%
  └─ Employee Cost %,7%,10%,8%,8%,5%,9%,7%,7%,7%,9%,8%,9%,7%
Operating Profit,11,10,10,11,20,13,21,11,22,17,26,20,32
OPM %,8%,10%,7%,8%,9%,10%,12%,6%,9%,10%,12%,10%,11%
Other Income,1,1,2,1,4,3,2,4,4,5,4,4,2
  └─ Exceptional items,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-1.21
  └─ Other income normal,1.10,0.72,1.69,1.24,3.68,3.06,2.13,4.45,3.78,5.19,3.92,3.69,3.48
Interest,3,3,3,3,4,3,4,4,3,3,4,4,8
Depreciation,2,2,2,3,3,3,4,4,4,3,4,4,4
Profit before tax,7,6,7,7,17,10,16,8,18,15,22,16,22
Tax %,43%,37%,30%,23%,28%,27%,21%,40%,27%,25%,26%,24%,17%
Net Profit,4,4,5,5,12,7,13,5,14,12,17,12,19
  └─ Minority share,0.19,0.06,-0.07,-0.34,0.49,0.08,-0.04,0.41,-0.13,0.02,-0.13,-0.05,-0.09
  └─ Exceptional items AT,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-1.00
  └─ Profit excl Excep,3.95,3.52,4.75,5.32,12.18,7.05,12.76,4.78,13.51,11.59,16.62,11.83,19.57
  └─ Profit for PE,4.14,3.58,4.68,4.98,12.67,7.13,12.72,5.19,13.38,11.61,16.49,11.78,19.48
  └─ Profit for EPS,4.14,3.58,4.68,4.98,12.67,7.13,12.72,5.19,13.38,11.61,16.49,11.78,18.48
  └─ YOY Profit Growth %,-8.00%,36.12%,59.73%,-31.78%,206.04%,99.16%,171.79%,4.22%,5.60%,62.83%,29.64%,126.97%,45.55%
EPS in Rs,0.33,0.28,0.37,0.38,0.96,0.54,0.92,0.38,0.97,0.84,1.20,0.85,1.32
Raw PDF,,,,,,,,,,,,,
