Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,54,56,51,51,54,58,59,58,64,67,63,77,87
  └─ YOY Sales Growth %,,,,3.71%,-0.46%,3.89%,17.09%,13.40%,19.02%,16.50%,5.25%,31.72%,36.60%
Expenses,40,43,41,42,44,47,48,49,54,54,53,62,66
  └─ Material Cost %,37.40%,38.99%,38.33%,39.54%,37.78%,39.17%,37.73%,42.66%,27.09%,39.59%,38.38%,42.34%,43.84%
  └─ Employee Cost %,14.96%,16.12%,17.71%,17.93%,16.36%,17.56%,17.61%,17.47%,16.73%,16.86%,18.01%,15.25%,13.41%
Operating Profit,14,12,10,10,10,11,12,10,10,13,10,14,22
OPM %,25%,22%,20%,18%,19%,18%,19%,17%,16%,19%,16%,19%,25%
Other Income,0,0,1,1,1,1,1,1,2,2,2,2,1
  └─ Other income normal,0.20,0.00,0.98,0.90,1.18,0.70,0.96,1.15,1.68,1.60,2.38,1.63,0.83
Interest,1,1,1,1,1,1,1,1,1,1,1,1,1
Depreciation,2,2,2,2,2,2,2,2,2,2,2,2,3
Profit before tax,11,10,8,7,8,8,9,7,9,11,9,12,18
Tax %,19%,26%,26%,25%,30%,25%,25%,25%,29%,24%,21%,25%,24%
Net Profit,9,7,6,5,6,6,7,5,7,8,7,9,14
  └─ Profit excl Excep,9,7,6,5,6,6,7,5,7,8,7,9,14
  └─ Profit for PE,9,7,6,5,6,6,7,5,7,8,7,9,14
  └─ Profit for EPS,9,7,6,5,6,6,7,5,7,8,7,9,14
  └─ YOY Profit Growth %,,,,-29%,-38%,-15%,12%,0%,18%,37%,1%,69%,108%
EPS in Rs,1.62,1.29,1.07,0.98,1.00,1.10,1.20,0.98,1.18,1.50,1.21,1.65,2.46
Raw PDF,,,,,,,,,,,,,
