Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue,0,5,9,12,3,9,4,2,56,120,169,138,38
  └─ YOY Sales Growth %,-87.50%,1213.16%,32.22%,204.06%,16700.00%,78.16%,-57.21%,-83.89%,1562.20%,1245.44%,4405.61%,7032.64%,-32.84%
Interest,0,0,0,0,0,0,0,0,3,4,6,4,6
Expenses,1,0,0,2,4,0,0,0,51,92,142,144,105
  └─ Material Cost %,0%,0%,0%,0%,0%,0%,0%,0%,2%,1%,1%,0%,2%
  └─ Employee Cost %,1450%,5%,3%,2%,7%,3%,7%,16%,35%,62%,50%,42%,131%
Financing Profit,-1,4,8,10,-0,8,3,1,2,24,20,-10,-73
Financing Margin %,-3100%,89%,94%,84%,-11%,93%,84%,70%,3%,20%,12%,-7%,-196%
Other Income,4,5,10,0,0,0,0,11,1,2,3,3,40
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.00,2.05,0.00,4.35
  └─ Other income normal,3.51,5.06,9.86,0.01,0.00,0.00,0.00,10.60,0.91,1.53,0.48,2.71,35.60
Depreciation,0,0,0,0,0,0,0,0,1,5,5,5,4
Profit before tax,3,9,18,10,-1,8,3,12,1,20,17,-12,-37
Tax %,-2%,4%,7%,15%,-41%,11%,100%,9%,105%,13%,-5%,-13%,6%
Net Profit,3,9,17,8,-0,17,12,11,-13,34,7,-11,-41
  └─ Profit from Associates,0,0,0,0,0,10,11,0,-13,17,-11,-1,-1
  └─ Minority share,0,0,0,0,0,0,0,0,7,-7,-9,3,14
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,2,0,4
  └─ Profit excl Excep,3,9,17,8,-0,17,12,11,-13,34,5,-11,-45
  └─ Profit for PE,3,9,17,8,-0,17,12,11,-5,27,-4,-8,-29
  └─ Profit for EPS,3,9,17,8,-0,17,12,11,-5,27,-2,-8,-27
  └─ YOY Profit Growth %,-75%,-75%,1%,-42%,-111%,92%,-31%,27%,-1629%,58%,-135%,-174%,-448%
EPS in Rs,27.90,90.30,166.80,84.50,-3.10,173.30,115.00,110.20,-53.60,273.50,-20.10,-79.30,-267.50
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
