Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,289,213,266,599,536,342,389,289,541,282,321,302,349
  └─ YOY Sales Growth %,72.20%,76.23%,123.83%,145.72%,85.02%,60.04%,46.26%,-51.78%,1.06%,-17.38%,-17.57%,4.46%,-35.61%
Expenses,399,306,333,637,682,493,613,416,647,452,490,457,550
  └─ Material Cost %,118%,127%,111%,99%,117%,136%,147%,129%,111%,148%,139%,139%,137%
  └─ Employee Cost %,2%,4%,4%,2%,1%,2%,2%,2%,1%,3%,2%,1%,2%
Operating Profit,-109,-93,-67,-37,-146,-151,-224,-127,-106,-170,-169,-155,-202
OPM %,-38%,-43%,-25%,-6%,-27%,-44%,-58%,-44%,-20%,-60%,-53%,-51%,-58%
Other Income,9,7,4,3,7,44,9,11,12,16,26,17,28
  └─ Other income normal,8.70,7.44,3.73,2.74,6.88,43.62,9.14,11.45,11.77,15.79,25.54,17.21,27.79
Interest,26,31,29,32,38,42,45,57,51,67,65,54,70
Depreciation,16,16,10,15,14,7,7,10,12,7,8,9,10
Profit before tax,-143,-132,-103,-82,-191,-157,-267,-183,-157,-228,-216,-201,-254
Tax %,-27%,-19%,-18%,-12%,-25%,-6%,-10%,-18%,-5%,-19%,-23%,-24%,-25%
Net Profit,-104,-106,-84,-72,-144,-147,-239,-150,-149,-186,-166,-153,-191
  └─ Minority share,-1,-0,0,5,-1,-0,-0,-0,0,0,-0,0,0
  └─ Profit excl Excep,-104,-106,-84,-72,-144,-147,-239,-150,-149,-186,-166,-153,-191
  └─ Profit for PE,-105,-106,-84,-67,-145,-147,-240,-151,-148,-186,-167,-153,-191
  └─ Profit for EPS,-105,-106,-84,-67,-145,-147,-240,-151,-148,-186,-167,-153,-191
  └─ YOY Profit Growth %,-169%,-117%,4%,37%,-38%,-39%,-184%,-125%,-2%,-26%,30%,-2%,-29%
EPS in Rs,-5.77,-5.81,-4.61,-3.66,-7.93,-8.06,-13.10,-8.23,-8.11,-10.16,-9.11,-8.38,-10.46
Raw PDF,,,,,,,,,,,,,
