Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,200,219,114,178,269,196,185,182,255,214,212,276,335
  └─ YOY Sales Growth %,20.26%,18.83%,3.42%,55.05%,34.55%,-10.57%,62.05%,2.63%,-5.08%,9.31%,14.76%,51.58%,31.44%
Expenses,185,194,90,143,202,168,143,135,190,176,166,199,264
  └─ Material Cost %,62%,62%,35%,37%,43%,57%,33%,49%,52%,53%,36%,44%,53%
  └─ Employee Cost %,4%,3%,6%,4%,4%,4%,5%,7%,6%,6%,8%,6%,5%
Operating Profit,15,25,24,34,67,28,42,48,66,38,46,78,71
OPM %,7%,11%,21%,19%,25%,14%,23%,26%,26%,18%,22%,28%,21%
Other Income,0,0,0,29,1,1,1,3,2,1,2,1,4
  └─ Exceptional items,0.00,0.05,-0.01,29.35,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00
  └─ Other income normal,0.23,0.09,0.02,0.09,0.61,0.62,1.08,2.61,2.25,0.68,1.61,1.43,4.07
Interest,3,4,5,3,4,4,5,9,9,9,7,6,7
Depreciation,4,6,4,4,4,5,5,5,5,5,6,6,6
Profit before tax,9,15,15,57,59,20,33,36,54,25,35,68,63
Tax %,42%,26%,26%,21%,27%,29%,25%,32%,26%,26%,26%,29%,28%
Net Profit,5,11,11,44,43,13,25,25,40,18,27,48,45
  └─ Profit from Associates,-0.26,-0.10,-0.30,-0.54,0.32,-0.84,0.14,0.28,0.06,-0.04,0.63,0.07,-0.53
  └─ Exceptional items AT,0.00,0.03,-0.01,23.19,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00
  └─ Profit excl Excep,4.72,10.93,11.11,21.17,43.34,13.07,24.64,24.77,39.86,18.43,26.69,47.69,44.70
  └─ Profit for PE,4.72,10.93,11.11,21.17,43.34,13.07,24.64,24.77,39.86,18.43,26.69,47.69,44.70
  └─ Profit for EPS,4.72,10.96,11.10,44.36,43.34,13.07,24.64,24.77,39.86,18.43,26.72,47.69,44.70
  └─ YOY Profit Growth %,-26.48%,44.58%,222.97%,219.79%,818.22%,19.58%,121.78%,17.01%,-8.03%,41.01%,8.32%,92.53%,12.14%
EPS in Rs,0.50,1.16,1.18,4.70,4.59,1.39,2.61,2.63,4.23,1.94,2.71,4.84,4.53
Raw PDF,,,,,,,,,,,,,
