Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1.79,0.45,0.03,4.32,3.67,2.52,3.18,2.48,19.03,17.21,17.09,13.96,41.44
  └─ YOY Sales Growth %,-93%,-100%,-96%,-67%,105%,460%,10500%,-43%,419%,583%,437%,463%,118%
Expenses,6.00,3.26,3.29,6.87,6.88,6.13,8.07,6.74,13.82,12.17,14.70,10.04,34.22
  └─ Material Cost %,2.79%,0.00%,0.00%,18.06%,16.08%,13.89%,12.89%,15.32%,6.57%,8.13%,10.77%,12.54%,28.33%
  └─ Employee Cost %,52.51%,262.22%,5100.00%,59.72%,64.85%,88.89%,67.92%,85.08%,37.52%,19.70%,21.42%,29.37%,19.59%
Operating Profit,-4.21,-2.81,-3.26,-2.55,-3.21,-3.61,-4.89,-4.26,5.21,5.04,2.39,3.92,7.22
OPM %,-235.20%,-624.44%,-10866.67%,-59.03%,-87.47%,-143.25%,-153.77%,-171.77%,27.38%,29.29%,13.98%,28.08%,17.42%
Other Income,-117.64,0.03,0.07,73.31,7.26,2.63,3.23,2.78,-3.93,3.74,3.89,3.13,9.43
  └─ Exceptional items,-117.92,0.00,0.00,72.44,0.04,0.00,0.00,0.00,-6.70,0.00,0.00,0.00,-3.06
  └─ Other income normal,0.28,0.03,0.07,0.87,7.22,2.63,3.23,2.78,2.77,3.74,3.89,3.13,12.49
Interest,-0.17,0.96,0.66,2.89,0.85,1.12,1.49,0.49,0.86,8.27,8.44,7.53,9.27
Depreciation,0.28,0.22,0.22,0.71,0.75,0.60,0.61,0.59,0.24,1.01,1.42,1.37,9.87
Profit before tax,-121.96,-3.96,-4.07,67.16,2.45,-2.70,-3.76,-2.56,0.18,-0.50,-3.58,-1.85,-2.49
Tax %,5.23%,0.00%,0.00%,0.00%,-202.45%,-16.67%,-19.95%,-71.48%,1527.78%,-78.00%,-27.09%,118.92%,28.11%
Net Profit,-128.33,-3.95,-4.07,67.16,7.42,-2.25,-3.01,-0.74,-2.57,-0.11,-2.60,-4.06,-3.19
  └─ Minority share,6,0,4,0,-0,0,0,0,1,0,-1,1,3
  └─ Exceptional items AT,-99,0,0,72,0,0,0,0,-4,0,0,0,-2
  └─ Profit excl Excep,-29,-4,-4,-5,7,-2,-3,-1,1,-0,-3,-4,-1
  └─ Profit for PE,-28,-4,-0,-5,7,-2,-3,-0,1,0,-3,-4,-0
  └─ Profit for EPS,-122,-4,-0,67,7,-2,-3,-0,-2,0,-3,-4,-0
  └─ YOY Profit Growth %,-261%,-103%,91%,42%,126%,49%,-1210%,91%,-88%,115%,-21%,-670%,-111%
EPS in Rs,-4.99,-0.16,-0.01,2.59,0.28,-0.08,-0.10,-0.02,-0.06,0.01,-0.12,-0.14,-0.01
Raw PDF,,,,,,,,,,,,,
