Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,499,473,442,655,537,445,412,710,514,530,546,963,773
  └─ YOY Sales Growth %,-6%,-17%,0%,-9%,7%,-6%,-7%,8%,-4%,19%,33%,36%,50%
Expenses,463,440,411,604,494,408,378,659,476,494,506,902,716
  └─ Material Cost %,68%,69%,68%,70%,70%,64%,63%,73%,66%,71%,70%,77%,77%
  └─ Employee Cost %,6%,6%,7%,5%,6%,7%,8%,4%,6%,5%,5%,3%,3%
Operating Profit,36,34,30,52,42,37,34,51,38,36,41,61,58
OPM %,7%,7%,7%,8%,8%,8%,8%,7%,7%,7%,7%,6%,7%
Other Income,2,3,1,2,3,2,1,2,3,-7,2,2,-1
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-11.97,0.00,0.00,0.00
  └─ Other income normal,1.92,3.09,1.27,2.40,3.08,2.45,1.28,1.78,2.58,4.61,2.50,2.34,-0.80
Interest,12,11,12,14,14,13,14,14,12,11,11,13,12
Depreciation,8,7,8,7,8,7,7,7,8,8,8,8,9
Profit before tax,18,18,12,32,23,19,14,32,20,9,24,42,37
Tax %,-7%,20%,14%,14%,9%,20%,20%,24%,-14%,29%,15%,21%,17%
Net Profit,20,14,10,28,21,15,11,24,23,7,20,33,30
  └─ Minority share,0.58,-0.01,0.08,0.04,-1.35,0.21,-0.07,0.00,2.32,-0.22,-0.95,-1.09,2.09
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.24,0.00,0.00,0.00
  └─ Profit excl Excep,19.73,14.22,10.47,27.89,21.04,15.40,11.24,24.32,22.73,15.84,20.23,33.21,30.22
  └─ Profit for PE,20.31,14.21,10.55,27.93,19.69,15.61,11.17,24.32,25.05,15.31,19.28,32.12,32.31
  └─ Profit for EPS,20.31,14.21,10.55,27.93,19.69,15.61,11.17,24.32,25.05,6.38,19.28,32.12,32.31
  └─ YOY Profit Growth %,-3.66%,-41.38%,-31.98%,1.66%,-3.05%,9.85%,5.88%,-12.93%,27.22%,-1.91%,72.61%,32.07%,28.98%
EPS in Rs,2.15,1.51,1.10,2.91,2.05,1.62,1.16,2.27,2.34,0.59,1.80,2.99,3.01
Raw PDF,,,,,,,,,,,,,
