Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,70.57,51.99,66.36,107.50,123.21,78.39,93.35,95.26,99.79,102.61,112.63,113.03,137.65
  └─ YOY Sales Growth %,-30.34%,-55.57%,120.39%,138.46%,74.59%,50.78%,40.67%,-11.39%,-19.01%,30.90%,20.65%,18.65%,37.94%
Expenses,64.79,40.44,57.36,92.77,109.65,67.89,82.38,84.01,87.61,91.33,100.64,102.03,131.60
  └─ Material Cost %,78%,66%,75%,73%,76%,72%,71%,79%,54%,75%,70%,75%,82%
  └─ Employee Cost %,6%,8%,7%,6%,5%,8%,7%,7%,7%,7%,6%,6%,5%
Operating Profit,5.78,11.55,9.00,14.73,13.56,10.50,10.97,11.25,12.18,11.28,11.99,11.00,6.05
OPM %,8.19%,22.22%,13.56%,13.70%,11.01%,13.39%,11.75%,11.81%,12.21%,10.99%,10.65%,9.73%,4.40%
Other Income,0.77,0.45,0.41,0.53,2.12,2.03,1.31,9.93,2.99,5.94,2.93,5.35,3.12
  └─ Exceptional items,-0.00,-0.00,-0.00,-0.00,0.38,0.17,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
  └─ Other income normal,0.77,0.45,0.41,0.53,1.74,1.86,1.31,9.93,2.99,5.94,2.93,5.35,3.12
Interest,1.34,1.23,1.56,2.42,0.14,1.76,1.82,3.32,0.59,2.06,1.85,1.68,1.69
Depreciation,3.64,2.92,3.61,4.98,5.13,4.18,4.08,4.24,3.97,3.78,3.75,3.96,6.19
Profit before tax,1.57,7.85,4.24,7.86,10.41,6.59,6.38,13.62,10.61,11.38,9.32,10.71,1.29
Tax %,28.03%,34.65%,16.27%,25.32%,28.63%,22.15%,27.27%,25.84%,28.28%,27.77%,23.50%,22.60%,13.18%
Net Profit,1.14,5.13,3.56,5.86,7.42,5.13,4.64,10.10,7.61,8.23,7.13,8.29,1.12
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,1,5,4,6,7,5,5,10,8,8,7,8,1
  └─ Profit for PE,1,5,4,6,7,5,5,10,8,8,7,8,1
  └─ Profit for EPS,1,5,4,6,7,5,5,10,8,8,7,8,1
  └─ YOY Profit Growth %,-78%,-4%,-34%,204%,527%,-3%,30%,72%,6%,65%,54%,-18%,-85%
EPS in Rs,0.05,0.24,0.17,0.28,0.27,0.19,0.17,0.37,0.28,0.30,0.26,0.31,0.04
Raw PDF,,,,,,,,,,,,,
