Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,12,11,11,19,18,19,17,13,9,8,6,5,6
  └─ YOY Sales Growth %,182.91%,131.32%,131.78%,130.59%,48.82%,69.22%,57.22%,-34.30%,-52.39%,-58.56%,-64.71%,-57.81%,-31.45%
Expenses,10,9,10,10,12,12,11,10,10,10,11,12,15
  └─ Material Cost %,3%,3%,0%,5%,2%,0%,0%,0%,0%,0%,0%,0%,0%
  └─ Employee Cost %,54%,51%,60%,27%,46%,43%,48%,53%,84%,88%,124%,135%,133%
Operating Profit,2,3,1,9,6,7,6,3,-2,-3,-5,-6,-9
OPM %,19%,23%,9%,49%,32%,36%,33%,22%,-19%,-32%,-79%,-119%,-150%
Other Income,0,0,2,0,2,0,0,0,0,0,0,0,0
  └─ Other income normal,0.25,0.05,2.08,0.18,2.14,0.09,0.12,0.08,0.30,0.16,0.12,0.00,0.18
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,1,1,1,1,1,1,1,1,1,1,1,2,1
Profit before tax,1,1,2,8,7,6,5,2,-2,-4,-6,-8,-11
Tax %,0%,0%,0%,0%,0%,8%,-9%,0%,0%,0%,0%,0%,0%
Net Profit,1,1,2,8,7,5,5,2,-2,-4,-6,-8,-11
  └─ Minority share,0,0,0,-0,0,-0,0,-0,0,0,0,0,-1
  └─ Profit excl Excep,1,1,2,8,7,5,5,2,-2,-4,-6,-8,-11
  └─ Profit for PE,1,2,2,8,7,5,5,2,-2,-4,-6,-8,-11
  └─ Profit for EPS,1,2,2,8,7,5,5,2,-2,-4,-6,-8,-11
  └─ YOY Profit Growth %,114%,138%,141%,1531%,553%,206%,155%,-80%,-136%,-179%,-218%,-627%,-355%
EPS in Rs,0.40,0.58,0.76,3.06,2.64,1.79,1.94,0.62,-0.95,-1.40,-2.29,-3.26,-4.32
Raw PDF,,,,,,,,,,,,,
