Metric,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,58,81,112,106
Expenses,36,53,71,69
  └─ Material Cost %,40.89%,38.49%,36.84%,34.21%
  └─ Employee Cost %,8.67%,13.30%,12.08%,14.20%
Operating Profit,22,28,42,37
OPM %,38%,34%,37%,35%
Other Income,0,1,3,5
  └─ Exceptional items,0.00,0.00,0.00,-0.97
  └─ Other income normal,0.33,1.09,2.77,5.91
Interest,0,0,0,0
Depreciation,0,0,1,1
Profit before tax,22,28,44,41
Tax %,31%,24%,24%,25%
Net Profit,17,22,33,31
  └─ Profit from Associates,1.88,0.81,0.00,0.00
  └─ Exceptional items AT,0.00,0.00,0.00,-0.72
  └─ Profit excl Excep,16.96,22.23,33.25,31.33
  └─ Profit for PE,16.96,22.23,33.25,31.33
  └─ Profit for EPS,16.96,22.23,33.25,30.61
EPS in Rs,8480.00,6.48,7.13,6.57
Raw PDF,,,,
