Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,45,22,31,28,30,29,12,23,43,26,19,29,41
  └─ YOY Sales Growth %,14461.29%,9681.82%,9845.16%,-37.94%,-32.83%,34.99%,-59.94%,-18.72%,42.97%,-9.88%,52.96%,29.10%,-4.84%
Expenses,41,19,26,23,21,22,11,15,30,19,14,25,32
  └─ Material Cost %,90.63%,84.85%,84.30%,0.00%,0.00%,0.41%,0.08%,1.33%,1.20%,1.68%,0.00%,0.00%,0.00%
  └─ Employee Cost %,0.51%,0.93%,0.52%,0.54%,0.66%,0.45%,1.86%,0.75%,0.62%,0.95%,2.22%,13.24%,1.28%
Operating Profit,4,3,5,5,9,7,1,7,14,7,4,4,9
OPM %,8%,14%,15%,18%,30%,25%,9%,33%,31%,26%,23%,15%,21%
Other Income,1,1,1,1,5,1,6,1,1,2,6,4,10
  └─ Other income normal,0.83,0.51,0.52,0.53,5.02,0.74,5.68,1.27,0.62,1.94,6.31,3.95,10.01
Interest,0,0,0,0,0,0,0,0,3,1,1,1,1
Depreciation,0,0,0,0,3,1,1,1,1,1,1,1,1
Profit before tax,5,3,5,5,11,7,6,7,10,7,9,7,17
Tax %,29%,25%,29%,10%,17%,25%,22%,34%,25%,26%,19%,27%,26%
Net Profit,3,2,4,5,9,5,4,5,8,5,7,5,12
  └─ Minority share,-0,0,-0,-0,-1,-0,-1,-1,-2,-1,-1,0,-1
  └─ Profit excl Excep,3,2,4,5,9,5,4,5,8,5,7,5,12
  └─ Profit for PE,3,3,3,5,8,5,4,4,5,4,6,5,11
  └─ Profit for EPS,3,3,3,5,8,5,4,4,5,4,6,5,11
  └─ YOY Profit Growth %,2007%,1376%,670%,-56%,159%,100%,14%,-9%,-33%,-25%,65%,30%,108%
EPS in Rs,0.39,0.31,0.42,0.56,1.01,0.62,0.48,0.51,0.68,0.47,0.79,0.66,1.40
Raw PDF,,,,,,,,,,,,,
