Metric,Sep 2019,Mar 2020,Sep 2020,Mar 2021,Sep 2021,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025
Sales,28,30,28,40,40,46,31,49,23,2,0,0,0
Expenses,24,28,26,36,36,43,28,46,25,4,1,2,1
  └─ Material Cost %,70%,76%,75%,73%,73%,75%,70%,81%,86%,176%,117%,1688%,125%
  └─ Employee Cost %,6%,5%,8%,4%,5%,5%,8%,5%,7%,26%,114%,550%,1075%
Operating Profit,4,2,2,4,4,3,3,3,-2,-2,-1,-2,-1
OPM %,14%,8%,7%,10%,9%,7%,8%,6%,-8%,-124%,-217%,-2788%,-1625%
Other Income,0,0,0,0,0,-0,1,-0,-51,3,16,1,33
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,-0.06,0.00,-0.13,-51.05,2.93,15.96,0.76,31.67
  └─ Other income normal,0.05,0.06,0.03,0.03,0.02,0.04,0.52,0.02,0.01,0.07,0.01,0.06,1.38
Interest,2,2,2,2,2,2,2,2,2,2,1,1,0
Depreciation,1,1,1,1,1,1,1,1,1,0,0,0,0
Profit before tax,1,-0,-1,1,1,0,1,-0,-55,-1,14,-2,32
Tax %,17%,32%,0%,2%,17%,200%,16%,4%,0%,-294%,7%,0%,0%
Net Profit,1,-0,-1,1,1,-0,1,-0,-55,2,13,-2,32
  └─ Profit from Associates,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,0.06,0.00,-0.08,-51.05,2.93,14.95,0.76,31.67
  └─ Profit excl Excep,1.18,-0.46,-0.78,1.26,1.10,-0.12,0.54,-0.18,-4.28,-1.38,-1.93,-2.88,0.28
  └─ Profit for PE,1.18,-0.46,-0.78,1.26,1.10,-0.12,0.54,-0.18,-4.28,-1.38,-1.93,-2.88,0.28
  └─ Profit for EPS,1.18,-0.46,-0.78,1.26,1.10,-0.06,0.54,-0.26,-55.33,1.55,13.02,-2.12,31.95
EPS in Rs,1.18,-0.46,-0.78,1.26,1.10,-0.06,0.54,-0.26,-55.16,1.55,12.98,-2.11,31.85
Raw PDF,,,,,,,,,,,,,
