Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,87.51,94.65,97.88,115.98,96.19,103.11,104.38,125.75,103.01,108.77,116.44,134.84,116.42
  └─ YOY Sales Growth %,21.91%,5.20%,4.37%,11.83%,9.92%,8.94%,6.64%,8.42%,7.09%,5.49%,11.55%,7.23%,13.02%
Expenses,65.45,77.65,82.21,92.45,82.29,87.17,89.07,99.64,87.77,90.91,97.16,106.40,98.89
  └─ Material Cost %,31.66%,30.20%,29.91%,29.98%,31.33%,30.30%,29.90%,29.87%,30.11%,29.42%,28.93%,28.40%,28.98%
  └─ Employee Cost %,21.38%,21.53%,23.01%,21.07%,24.04%,22.90%,22.57%,20.09%,24.42%,22.57%,22.11%,19.75%,22.81%
Operating Profit,22.06,17.00,15.67,23.53,13.90,15.94,15.31,26.11,15.24,17.86,19.28,28.44,17.53
OPM %,25.21%,17.96%,16.01%,20.29%,14.45%,15.46%,14.67%,20.76%,14.79%,16.42%,16.56%,21.09%,15.06%
Other Income,10.54,3.95,6.34,6.63,4.74,8.41,3.47,3.38,3.98,5.74,3.55,1.58,3.80
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.34,0.00
  └─ Other income normal,10.54,3.95,6.34,6.63,4.74,8.41,3.47,3.38,3.98,5.74,3.55,4.92,3.80
Interest,3.52,3.59,3.80,3.81,3.40,3.53,3.36,3.70,3.64,3.74,3.65,3.66,3.50
Depreciation,8.81,9.61,10.15,10.78,11.36,11.45,11.80,12.73,13.02,13.40,13.64,14.28,14.69
Profit before tax,20.27,7.75,8.06,15.57,3.88,9.37,3.62,13.06,2.56,6.46,5.54,12.08,3.14
Tax %,-172.87%,13.55%,28.54%,8.99%,12.89%,18.46%,21.27%,28.33%,17.19%,20.74%,19.49%,31.46%,9.24%
Net Profit,55.31,6.70,5.76,14.17,3.38,7.64,2.85,9.36,2.12,5.12,4.47,8.29,2.85
  └─ Minority share,0.00,0.00,0.00,-0.34,-0.28,-0.26,-0.15,-0.11,0.27,0.28,0.14,0.21,0.47
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.29,0.00
  └─ Profit excl Excep,55.31,6.70,5.76,14.17,3.38,7.64,2.85,9.36,2.12,5.12,4.47,10.58,2.85
  └─ Profit for PE,55.31,6.70,5.76,13.83,3.10,7.38,2.70,9.25,2.39,5.40,4.61,10.79,3.32
  └─ Profit for EPS,55.31,6.70,5.76,13.83,3.10,7.38,2.70,9.25,2.39,5.40,4.61,8.50,3.32
  └─ YOY Profit Growth %,1794.18%,-55.42%,-47.97%,-10.08%,-94.40%,10.15%,-53.12%,-33.12%,-22.90%,-26.83%,70.74%,16.65%,38.91%
EPS in Rs,11.78,1.41,1.21,2.88,0.64,1.53,0.56,1.92,0.50,1.12,0.96,1.76,0.69
Raw PDF,,,,,,,,,,,,,
