Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,175.72,164.42,191.04,144.69,165.18,142.95,182.13,163.88,176.04,162.68,190.05,169.09,154.95
  └─ YOY Sales Growth %,-7.20%,-6.25%,-12.76%,-26.14%,-6.00%,-13.06%,-4.66%,13.26%,6.57%,13.80%,4.35%,3.18%,-11.98%
Expenses,159.00,155.30,177.98,138.22,156.53,135.70,171.31,159.52,166.36,155.57,177.77,159.59,142.25
  └─ Material Cost %,56%,60%,64%,54%,57%,54%,56%,58%,57%,54%,58%,55%,51%
  └─ Employee Cost %,9%,10%,9%,12%,12%,15%,12%,12%,12%,12%,11%,12%,14%
Operating Profit,16.72,9.12,13.06,6.47,8.65,7.25,10.82,4.36,9.68,7.11,12.28,9.50,12.70
OPM %,9.52%,5.55%,6.84%,4.47%,5.24%,5.07%,5.94%,2.66%,5.50%,4.37%,6.46%,5.62%,8.20%
Other Income,0.32,1.90,2.06,4.20,3.82,8.53,2.45,5.75,1.62,4.12,2.97,2.31,-3.17
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,6.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,0.32,1.90,2.06,4.20,3.82,2.33,2.45,5.75,1.62,4.12,2.97,2.31,-3.17
Interest,3.76,4.13,4.16,3.49,4.05,4.36,5.17,4.78,6.68,5.77,5.72,4.38,5.15
Depreciation,4.26,4.28,4.42,4.42,5.02,4.54,4.67,3.67,5.21,4.71,4.54,4.81,5.24
Profit before tax,9.02,2.61,6.54,2.76,3.40,6.88,3.43,1.66,-0.59,0.75,4.99,2.62,-0.86
Tax %,22.62%,38.31%,19.42%,35.87%,9.71%,25.00%,39.65%,71.08%,-44.07%,233.33%,33.07%,68.70%,169.77%
Net Profit,7.54,2.10,5.95,2.15,3.63,5.40,2.48,0.51,0.66,-0.32,4.25,1.28,-1.29
  └─ Profit from Associates,1,0,1,0,1,0,0,0,1,1,1,0,1
  └─ Minority share,-0,-1,-1,-0,0,0,-1,0,0,0,0,0,0
  └─ Exceptional items AT,0,0,0,0,0,5,0,0,0,0,0,0,0
  └─ Profit excl Excep,8,2,6,2,4,1,2,1,1,-0,4,1,-1
  └─ Profit for PE,7,2,5,2,4,1,2,1,1,-0,4,1,-1
  └─ Profit for EPS,7,2,5,2,4,6,2,1,1,-0,4,1,-1
  └─ YOY Profit Growth %,-41%,-69%,-8%,-77%,-44%,-23%,-62%,-75%,-78%,-124%,130%,151%,-245%
EPS in Rs,6.49,1.37,4.46,1.88,3.62,5.27,1.68,0.46,0.81,-0.25,3.85,1.16,-1.17
Raw PDF,,,,,,,,,,,,,
