Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,680,601,712,707,1143,1160,833,870,924,944,1146,1264,1465
  └─ YOY Sales Growth %,83%,54%,52%,38%,68%,93%,17%,23%,-19%,-19%,38%,45%,58%
Expenses,623,564,663,667,1059,1115,762,790,817,857,1031,1105,1291
  └─ Material Cost %,79%,78%,78%,77%,82%,85%,76%,74%,73%,75%,76%,73%,74%
  └─ Employee Cost %,4%,6%,4%,5%,4%,4%,6%,5%,6%,5%,4%,4%,4%
Operating Profit,57,37,49,39,83,45,71,80,108,87,115,159,174
OPM %,8%,6%,7%,6%,7%,4%,9%,9%,12%,9%,10%,13%,12%
Other Income,24,22,8,12,7,15,10,20,22,16,9,7,11
  └─ Exceptional items,0.00,0.00,-1.35,0.00,0.00,0.00,0.00,-2.14,0.00,0.00,0.00,-3.38,-1.19
  └─ Other income normal,23.86,22.08,8.90,12.12,7.21,15.22,10.03,21.77,22.27,16.04,8.74,10.30,11.83
Interest,4,8,8,11,13,14,14,15,16,15,13,8,13
Depreciation,9,10,12,14,16,17,17,20,21,21,22,20,21
Profit before tax,68,41,37,27,61,29,51,64,93,67,90,138,150
Tax %,37%,31%,17%,25%,26%,31%,22%,17%,23%,26%,26%,20%,21%
Net Profit,43,28,31,20,45,20,40,53,71,50,66,110,119
  └─ Profit from Associates,0,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Minority share,-1,0,-2,-5,-10,-1,-3,-4,-6,-0,-2,-8,-18
  └─ Exceptional items AT,0,0,-1,0,0,0,0,-2,0,0,0,-3,-1
  └─ Profit excl Excep,43,28,31,20,45,20,40,55,71,50,66,113,120
  └─ Profit for PE,42,29,29,16,35,19,36,50,65,50,64,105,102
  └─ Profit for EPS,42,29,28,16,35,19,36,49,65,50,64,103,101
  └─ YOY Profit Growth %,159%,83%,4%,-53%,-17%,-32%,24%,225%,87%,158%,77%,109%,56%
EPS in Rs,2.39,1.61,1.60,0.87,1.97,1.09,2.04,2.74,3.67,2.79,3.33,5.33,5.25
Raw PDF,,,,,,,,,,,,,
