Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,6038,7328,6961,6366,6529,9034,7176,6499,6456,7906,7876,6778,6406
  └─ YOY Sales Growth %,61.28%,12.55%,3.85%,-1.19%,8.13%,23.28%,3.09%,2.09%,-1.11%,-12.48%,9.76%,4.28%,-0.78%
Expenses,4947,6143,5740,5322,5420,7176,5968,5388,5326,6423,6370,5375,5257
  └─ Material Cost %,7.88%,2.41%,3.54%,4.42%,6.33%,3.19%,3.55%,6.05%,5.91%,3.30%,5.89%,8.47%,4.60%
  └─ Employee Cost %,2.50%,2.00%,2.32%,2.45%,2.26%,1.91%,2.65%,2.55%,2.49%,2.34%,2.21%,2.71%,2.54%
Operating Profit,1090,1185,1221,1044,1109,1858,1207,1112,1130,1483,1506,1403,1149
OPM %,18%,16%,18%,16%,17%,21%,17%,17%,18%,19%,19%,21%,18%
Other Income,96,86,108,54,97,76,125,172,114,105,78,69,71
  └─ Other income normal,96,86,108,54,97,76,125,172,114,105,78,69,71
Interest,189,227,247,235,233,260,272,276,236,212,216,255,252
Depreciation,329,332,342,349,355,359,371,378,389,390,389,413,421
Profit before tax,668,711,741,513,617,1315,689,630,619,985,979,805,547
Tax %,28%,25%,27%,27%,28%,24%,28%,22%,-74%,25%,24%,19%,39%
Net Profit,484,532,543,374,447,996,496,489,1077,742,742,655,331
  └─ Minority share,-35,-15,-17,-14,-17,-24,-15,-14,-18,-10,-18,-12,-13
  └─ Profit excl Excep,484,532,543,374,447,996,496,489,1077,742,742,655,331
  └─ Profit for PE,449,517,526,360,430,972,481,476,1060,731,724,643,318
  └─ Profit for EPS,449,517,526,360,430,972,481,476,1060,731,724,643,318
  └─ YOY Profit Growth %,-33%,3%,9%,-47%,-4%,88%,-9%,32%,146%,-25%,50%,35%,-70%
EPS in Rs,9.34,10.76,10.94,7.49,8.95,20.23,10.01,9.44,21.03,14.52,14.36,12.76,6.31
Raw PDF,,,,,,,,,,,,,
