Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,17,17,15,12,14,22,13,10,9,8,6,0,0
  └─ YOY Sales Growth %,-17%,-12%,-23%,-22%,-16%,30%,-15%,-22%,-37%,-65%,-53%,-95%,-98%
Expenses,18,16,16,17,16,25,14,14,13,9,12,3,10
  └─ Material Cost %,76%,68%,78%,100%,83%,96%,83%,103%,102%,76%,142%,221%,507%
  └─ Employee Cost %,13%,13%,15%,19%,12%,8%,8%,11%,13%,13%,14%,54%,127%
Operating Profit,-1,0,-1,-5,-1,-3,-1,-4,-4,-1,-6,-2,-10
OPM %,-5%,3%,-7%,-37%,-10%,-15%,-12%,-42%,-48%,-18%,-105%,-477%,-6393%
Other Income,0,0,0,0,0,0,0,1,0,0,0,0,0
  └─ Other income normal,0.13,0.14,0.14,0.11,0.42,0.07,0.09,1.39,0.24,0.01,0.03,0.03,0.03
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,5,4,4,4,4,4,4,4,4,4,4,4,4
Profit before tax,-6,-4,-5,-9,-5,-7,-5,-7,-8,-5,-10,-6,-13
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Net Profit,-6,-4,-5,-9,-6,-7,-5,-7,-8,-5,-10,-6,-13
  └─ Profit excl Excep,-6,-4,-5,-9,-6,-7,-5,-7,-8,-5,-10,-6,-13
  └─ Profit for PE,-6,-4,-5,-9,-6,-7,-5,-7,-8,-5,-10,-6,-13
  └─ Profit for EPS,-6,-4,-5,-9,-6,-7,-5,-7,-8,-5,-10,-6,-13
  └─ YOY Profit Growth %,16%,-1%,-33%,-40%,2%,-77%,3%,26%,-43%,26%,-90%,9%,-69%
EPS in Rs,-1.53,-1.07,-1.47,-2.41,-1.50,-1.91,-1.43,-1.80,-2.14,-1.41,-2.72,-1.64,-3.62
Raw PDF,,,,,,,,,,,,,
