Metric,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,10.55,10.58,11.10,8.14,7.26,11.08,10.11,12.55
Expenses,9.22,9.24,10.36,7.54,8.57,7.98,11.51,14.50
  └─ Employee Cost %,74%,82%,69%,80%,94%,63%,84%,75%
Operating Profit,1.33,1.34,0.74,0.60,-1.31,3.10,-1.40,-1.95
OPM %,12.61%,12.67%,6.67%,7.37%,-18.04%,27.98%,-13.85%,-15.54%
Other Income,0.37,0.21,0.43,0.29,0.06,0.25,0.02,0.07
  └─ Other income normal,0.37,0.21,0.43,0.29,0.06,0.25,0.02,0.07
Interest,0.25,0.35,0.31,0.27,0.12,0.31,0.33,0.39
Depreciation,0.22,0.22,0.25,0.33,0.29,0.22,0.27,0.35
Profit before tax,1.23,0.98,0.61,0.29,-1.66,2.82,-1.98,-2.62
Tax %,27.64%,0.00%,37.70%,20.69%,1.81%,9.22%,2.02%,-0.76%
Net Profit,0.88,0.98,0.38,0.22,-1.68,2.57,-2.02,-2.61
  └─ Minority share,0.03,0.02,0.05,-0.03,-0.01,0.00,-0.01,0.00
  └─ Profit excl Excep,0.88,0.98,0.38,0.22,-1.68,2.57,-2.02,-2.61
  └─ Profit for PE,0.91,1.00,0.43,0.19,-1.69,2.57,-2.03,-2.61
  └─ Profit for EPS,0.91,1.00,0.43,0.19,-1.69,2.57,-2.03,-2.61
EPS in Rs,2.28,1.82,0.78,0.35,-3.08,4.69,-3.70,-4.76
Raw PDF,,,,,,,,
