Metric,Mar 2021,Sep 2021,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,13.98,13.98,12.78,16.52,18.62,31.14,31.38,32.53,39.24,36.49,42.30
Expenses,13.47,13.47,12.27,15.52,16.12,29.15,28.62,29.89,36.16,33.55,38.58
  └─ Material Cost %,79%,79%,77%,73%,65%,80%,79%,78%,80%,76%,75%
  └─ Employee Cost %,12%,12%,10%,12%,12%,7%,6%,7%,6%,9%,9%
Operating Profit,0.51,0.51,0.51,1.00,2.50,1.99,2.76,2.64,3.08,2.94,3.72
OPM %,3.65%,3.65%,3.99%,6.05%,13.43%,6.39%,8.80%,8.12%,7.85%,8.06%,8.79%
Other Income,0.04,0.04,-0.02,0.05,0.27,0.06,0.16,0.31,-0.04,0.13,0.13
  └─ Exceptional items,0.00,0.00,-0.02,0.00,-0.02,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,0.04,0.04,0.00,0.05,0.29,0.06,0.16,0.31,-0.04,0.13,0.13
Interest,0.25,0.25,0.24,0.44,0.36,0.33,0.34,0.26,0.03,0.30,0.50
Depreciation,0.13,0.13,0.15,0.84,1.07,0.92,0.89,0.88,0.94,1.00,1.02
Profit before tax,0.17,0.17,0.10,-0.23,1.34,0.80,1.69,1.81,2.07,1.77,2.33
Tax %,29.41%,29.41%,-130.00%,39.13%,15.67%,20.00%,23.08%,22.10%,32.85%,15.25%,27.04%
Net Profit,0.12,0.12,0.24,-0.33,1.14,0.65,1.29,1.41,1.39,1.50,1.50
  └─ Profit from Associates,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.20
  └─ Minority share,0.01,0.01,0.01,-0.05,-0.17,-0.25,-0.11,-0.12,-0.35,-0.21,-0.32
  └─ Exceptional items AT,0.00,0.00,-0.01,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Profit excl Excep,0.12,0.12,0.25,-0.33,1.15,0.65,1.29,1.41,1.39,1.50,1.50
  └─ Profit for PE,0.13,0.13,0.26,-0.38,0.98,0.40,1.18,1.29,1.04,1.29,1.18
  └─ Profit for EPS,0.13,0.13,0.25,-0.38,0.97,0.40,1.18,1.29,1.04,1.29,1.18
EPS in Rs,0.19,0.14,0.27,-0.42,1.07,0.43,1.26,1.37,1.11,1.37,1.26
Raw PDF,,,,,,,,,,,
